1:6447,41994,46692,135027,135146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:8801,51157,134924,135040,135049,135105,135161,135182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:7175,10475,16337,17550,20860,21173,22099,22406,22880,25855,31856,32930,34812,51190,72618,88152,91199,134931,134950,135053,135101,135117,135137,135166,135172,135190,142259,142560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:6047,7565,14162,20541,22412,24471,25065,26005,28536,29172,32296,33144,33653,35456,38947,43409,44721,46744,48737,51120,51244,63905,73399,75908,107193,115781,128962,135146,135163,135163,135163,135171,135179,135184,135201,137557,142930,143153,143474,143502,143575,0,0,0,0,0,0,0,0,0
5:555,8286,12779,14646,18004,19944,21026,26451,27561,29694,32350,39096,40332,44204,46588,48065,49983,50048,51080,51864,62598,74203,79142,84947,85583,96671,97201,103516,114062,121234,126202,135158,135158,135167,135190,135202,141956,141983,142580,143155,143299,143313,143396,143461,0,0,0,0,0,0
6:6529,10621,12597,15085,18999,19564,22094,25128,25212,25691,26040,30292,31544,38318,40280,43002,47044,49024,51306,55268,57158,63324,63386,64094,66291,67023,68596,69483,74369,76877,83430,90576,100593,133291,134899,135162,135180,142675,143135,143264,143286,143563,143938,144464,0,0,0,0,0,0
7:1384,5990,6656,6960,13593,14842,15462,16067,17524,18953,19399,20435,21438,21547,22396,24157,25154,25416,26261,27484,29362,29977,30817,31328,33225,34150,34886,35815,37914,41396,42268,44715,44852,46523,48787,51197,51291,52149,56058,134844,142237,142619,142933,143138,143666,144162,0,0,0,0
8:5559,8368,9586,10253,15907,17380,18544,20052,20167,21668,21716,23930,24302,24574,24666,24756,25102,25888,26648,28084,28247,30388,31877,31902,32569,34157,34238,35759,35764,36366,38055,45070,45983,46499,48200,48258,48564,51057,95991,134956,134968,135127,135200,140377,0,0,0,0,0,0
9:1411,42,8666,8865,10296,11274,11514,12274,14791,17042,18624,19689,21151,21632,21722,22142,22897,23884,24124,24712,24772,25161,27775,29617,29926,31473,34142,34471,35302,35502,36377,37710,38253,41080,41339,42223,42643,42720,43489,45133,46573,48206,50827,51072,51188,135220,0,0,0,0
10:594,291,4453,4521,5814,10394,15292,15775,17337,20109,21593,22521,22558,23319,23436,23583,24449,27097,27251,29146,29229,29398,29926,29996,30792,30839,31104,32610,32994,35085,37363,37446,38352,41453,42656,46935,50798,50932,51326,52047,53822,135167,135169,141893,142598,142877,0,0,0,0
11:6038,8434,10229,13168,13293,15615,18788,20012,20418,20425,21172,21531,21896,22004,22217,22939,23370,23497,24613,25969,25999,26250,26291,26774,27289,28564,28735,30722,32873,33154,36961,41489,42268,42269,45357,48032,48582,48587,55912,76942,81114,88901,116505,123716,134936,141963,142958,0,0,0
12:2134,4459,6049,7581,11337,11968,15487,18655,19620,19669,21260,21381,21454,21842,22420,22475,22494,22790,23681,24514,24831,25436,26934,27253,27678,28673,30272,31538,31541,32333,33307,33831,34039,36035,36644,41187,43408,43613,44470,48930,50631,54941,71345,134944,135116,135177,143289,143813,145147,0
13:7354,7382,7605,11327,12079,14284,15386,16645,18009,19131,19228,20710,21393,23075,23856,24911,26013,26703,27309,27596,29197,30694,30854,33098,35055,38038,39135,39438,40008,40565,40672,42936,45485,47277,47943,50099,52137,87120,115239,132228,135146,135157,135190,141820,142622,142622,0,0,0,0
