1:5.836,5.076,5.026,4.978,4.944,4.914,4.908,4.868,4.868,4.85,4.844,4.82,4.82,4.81,4.788,4.78,4.764,4.732,4.718,4.706,4.682,4.682,4.682,4.678,4.634,4.568,4.568,4.558,4.532,4.514,4.484,4.478,0.668,0.622,0.614,0.614,0.588,0.584,0.556,0.55,0.532,0.524,0.518,0.518,0.496,0.484,0.482,0.456,0.44,0.348
2:5.914,5.466,5.382,5.124,5.108,5.078,5.076,5.056,4.996,4.988,4.986,4.964,4.874,4.856,4.848,4.826,4.81,4.792,4.784,4.776,4.756,4.736,4.7,4.694,4.662,4.656,4.656,4.632,4.63,4.612,4.602,4.582,4.458,4.454,4.38,0.544,0.536,0.508,0.478,0.466,0.462,0.456,0.44,0.428,0.422,0.416,0.414,0.36,0.344,0.324
3:6.086,5.98,5.978,5.818,5.608,5.572,5.354,5.318,5.31,5.078,5.038,4.96,4.938,4.89,4.866,4.764,4.762,4.758,4.678,4.66,4.652,4.638,4.602,4.562,4.504,4.492,4.492,4.446,4.366,4.292,0.544,0.538,0.524,0.524,0.52,0.512,0.508,0.484,0.48,0.454,0.448,0.444,0.43,0.404,0.402,0.4,0.38,0.376,0.336,0.192
4:6.136,6.04,5.986,5.944,5.802,5.798,5.794,5.792,5.752,5.75,5.748,5.73,5.724,5.564,5.562,5.522,5.52,5.49,5.47,5.422,5.058,5.0,4.898,4.884,4.846,4.812,4.766,4.754,4.718,4.71,4.484,0.626,0.59,0.578,0.564,0.544,0.526,0.508,0.458,0.43,0.372,0.364,0.35,0.302,0.276,0.272,0.24,0.228,0.226,0.172
5:6.028,5.994,5.962,5.942,5.926,5.85,5.85,5.812,5.81,5.768,5.764,5.756,5.746,5.74,5.73,5.688,5.59,5.584,5.548,5.528,5.462,5.426,5.422,5.422,5.334,5.284,5.214,5.168,4.964,4.958,4.932,4.87,4.868,4.842,4.798,4.67,4.614,4.492,0.602,0.564,0.542,0.504,0.472,0.444,0.308,0.266,0.228,0.216,0.2,0.176
6:13.796,6.252,6.212,6.136,6.044,6.002,5.986,5.982,5.976,5.974,5.956,5.956,5.954,5.938,5.874,5.87,5.864,5.846,5.756,5.736,5.728,5.72,5.664,5.664,5.646,5.644,5.624,5.486,5.486,5.424,5.194,4.838,4.834,4.742,4.622,4.57,0.656,0.584,0.582,0.574,0.572,0.556,0.534,0.514,0.51,0.156,0.152,0.148,0.142,0.118
7:13.376,13.332,12.798,12.596,6.256,6.252,6.098,5.988,5.924,5.908,5.892,5.886,5.88,5.878,5.876,5.868,5.862,5.846,5.842,5.812,5.776,5.74,5.728,5.71,5.654,5.618,5.602,5.528,5.518,5.518,5.514,5.496,5.398,5.378,4.96,4.624,4.474,4.468,0.586,0.492,0.484,0.448,0.432,0.398,0.388,0.364,0.348,0.318,0.144,0.104
8:15.24,14.69,14.558,14.354,14.202,14.19,13.874,13.764,13.734,13.696,13.65,13.596,13.49,13.464,13.4,13.306,13.13,12.698,12.542,12.336,7.368,6.414,6.32,6.234,5.97,5.968,5.87,5.844,5.83,5.788,5.776,5.738,5.718,5.696,5.572,4.872,4.728,4.578,0.634,0.548,0.484,0.484,0.444,0.438,0.42,0.39,0.382,0.35,0.342,0.332
9:19.552,14.302,13.704,13.546,13.47,13.398,13.356,13.302,13.25,13.124,13.1,13.068,13.026,12.998,12.89,12.732,12.724,12.722,12.688,12.588,12.402,12.398,12.352,12.284,12.204,12.154,11.926,11.766,11.68,10.968,5.944,5.798,5.794,5.676,5.38,5.33,4.838,4.636,0.446,0.396,0.37,0.364,0.32,0.24,0.236,0.234,0.204,0.186,0.18,0.164
10:21.884,19.896,19.58,19.118,15.682,14.896,14.744,14.136,14.13,13.96,13.946,13.856,13.724,13.648,13.626,13.588,13.574,13.526,13.32,13.238,13.214,13.166,13.14,13.05,13.0,12.88,12.772,12.728,12.442,12.274,12.18,11.93,10.746,5.68,5.632,4.92,0.526,0.452,0.4,0.356,0.32,0.292,0.284,0.26,0.216,0.198,0.188,0.176,0.156,0.148
11:21.224,20.568,20.552,20.288,20.158,19.59,19.564,19.06,18.468,18.384,18.244,17.868,17.84,17.662,15.442,14.742,14.718,14.7,14.658,14.442,14.41,14.18,13.99,13.944,13.696,13.546,13.27,13.082,13.08,13.014,12.9,12.856,12.522,12.424,5.95,4.572,0.776,0.544,0.45,0.372,0.368,0.36,0.352,0.342,0.324,0.28,0.28,0.28,0.154,0.128
12:22.78,22.3,21.49,21.146,20.638,20.42,20.158,20.092,19.97,19.284,18.464,18.108,17.894,17.878,17.58,17.572,17.526,15.692,15.182,14.962,14.792,14.66,14.498,14.192,14.064,14.024,13.894,13.734,12.818,12.782,12.528,5.858,5.264,4.544,0.804,0.778,0.57,0.43,0.422,0.38,0.364,0.344,0.34,0.334,0.332,0.318,0.284,0.274,0.2,0.172
13:38.846,24.142,24.04,23.134,23.024,23.022,22.61,22.59,21.94,21.768,21.424,21.272,21.176,20.996,20.588,20.27,20.124,19.746,19.696,19.244,15.192,14.96,14.788,14.518,14.062,14.024,13.726,13.616,13.214,13.154,13.132,12.974,12.914,5.782,0.966,0.664,0.414,0.384,0.38,0.37,0.368,0.366,0.34,0.332,0.328,0.328,0.318,0.312,0.308,0.116
14:47.156,42.02,40.548,27.018,25.484,25.298,25.25,24.852,24.368,24.332,23.862,23.81,23.456,23.286,22.814,22.31,21.846,21.4,21.298,20.624,20.454,20.004,18.844,17.904,17.596,17.078,16.018,15.838,15.416,13.712,13.622,13.62,13.57,13.152,12.614,5.894,0.448,0.43,0.426,0.39,0.382,0.38,0.372,0.366,0.358,0.356,0.352,0.334,0.31,0.306
15:44.956,42.708,42.68,41.544,41.296,40.83,40.624,40.234,39.394,39.244,38.75,38.362,25.442,24.882,24.732,24.67,24.594,23.66,23.28,23.138,22.812,21.696,21.662,21.65,21.634,19.77,16.618,16.594,16.528,15.65,6.718,6.536,5.534,0.57,0.484,0.47,0.468,0.452,0.45,0.436,0.406,0.388,0.384,0.374,0.36,0.36,0.32,0.31,0.168,0.08
16:44.304,43.672,43.476,41.858,41.562,40.508,39.986,39.616,39.57,39.56,39.502,39.356,39.232,39.02,38.996,37.596,37.576,37.488,37.444,35.114,31.082,25.952,24.816,24.482,24.308,23.508,22.428,22.116,22.054,21.868,21.5,13.974,7.1,5.94,0.604,0.578,0.52,0.514,0.49,0.476,0.462,0.458,0.454,0.452,0.438,0.418,0.392,0.368,0.354,0.092
