1:4674,15963,16061,17688,19563,35757,35855,23212,39768,40546,29381,30447,38058,40601,49558,50899,41930,0,50080,32097,45825,24334,51707,0,36753,30926,32798,24136,48216,41862,31602,37289,33383,47475,51232,24720,48999,42488,42620,46911,45751,44065,51605,50245,49696,50177,49084,48278,50511,21824,48719,50532,49832,47395,50791,50550,51027,0,20334,28133,-1,50556,49593,33919,50101,25100,50584,-1,28359,28518,50088,44736,50446,29599,39005,51262,-1,34433,41292,31962,35548,24029,48559,35243,47632,26897,39624,38247,46298,41086,43189,29412,42976,0,51192,50375,50838,32771,32316,32911
2:5419,17897,17994,497,48380,40899,30417,42372,61217,37844,29522,38739,-1,31168,26942,48122,20595,35573,39266,-1,29811,22029,51249,42565,51121,34821,47447,0,23105,41095,34704,40184,24650,45776,36013,43139,19729,21689,38362,20325,41562,36538,33128,37307,31854,23574,45598,21599,43463,-1,51056,51332,47112,45699,47974,32046,35201,0,49216,47356,50595,49175,0,49423,46640,33351,49047,0,-1,51351,51225,0,25900,42828,40372,41817,-1,0,48973,51210,44622,47722,51059,258,44755,-1,49944,23773,0,0,0,51129,49406,0,33124,38670,42401,51261,50403,49754
3:18914,669,47895,42303,50216,37845,48501,48408,50227,42546,50902,50294,-1,45704,45999,49059,51180,44416,33206,-1,45895,48206,45662,48443,38552,44246,46598,0,23495,49846,42103,37584,42729,50500,51087,45289,19929,46287,47845,27902,51160,49855,44020,49670,51241,47259,49826,48463,50838,-1,35693,51332,48741,50331,50473,41422,40576,33209,33434,20482,41548,50357,50641,50499,30629,20558,45972,-1,46514,48693,51130,51152,-1,50994,46633,45923,-1,50646,50042,51667,51319,51172,51180,50398,51036,0,49330,51330,50905,0,0,49919,49568,0,38568,48406,0,50192,51140,46428
4:16938,43026,22460,46067,50730,51058,51227,48819,50317,51328,51225,51274,0,-1,30298,48835,25638,40151,28522,21591,-1,40562,30906,26217,49243,38033,38659,37850,0,49136,36653,37980,22356,31503,48940,32125,39462,50297,38847,22798,45585,28742,50876,51160,49036,47489,51866,51260,0,51122,23596,37574,46308,28724,0,35285,22139,33770,51465,37368,41604,30772,38330,35365,50516,65,41916,46320,0,22576,51156,26471,46359,33730,24945,36111,-1,40614,47896,47553,35978,0,260,22093,31320,-1,50910,51332,35144,44399,34574,29303,-1,0,44748,30544,39168,42721,35077,49909
5:14485,4126,2853,17484,18178,18354,19455,25771,34667,16,22458,31023,35997,44381,33786,41789,30541,35879,40924,0,26290,50959,40554,0,51191,50574,33228,-1,44490,42224,46560,51266,39520,56910,43433,35043,20539,40804,49266,50794,27767,35960,44716,26916,22054,47097,32191,42604,37384,50423,49817,30368,21699,32491,34384,36514,0,27335,42824,0,22972,45554,40040,38033,46384,35782,51770,0,35971,119,46758,22767,53911,42730,36960,44850,51332,32088,36049,48977,31317,49539,47303,282,40413,44269,-1,0,51332,45135,23689,45688,42667,0,24524,24285,27629,30959,42536,44035
6:12803,3830,2790,17422,2038,17993,18484,1339,18963,828,448,44156,53600,36746,22999,22891,19,26769,47229,48326,37949,0,40095,36337,38874,0,21954,27390,34630,30240,0,29191,39568,49513,-1,39463,45983,0,61877,24000,41162,-1,28741,29556,27906,-1,71693,48552,43822,24183,47328,40746,57009,23989,0,49741,31371,40364,35733,40635,0,28877,0,50233,34623,0,23156,49739,44819,45767,36716,0,20120,52762,35558,51710,0,41031,33389,37372,48566,41527,40185,45126,50674,25151,21415,28214,-1,0,51332,41959,24435,32249,26138,49836,42513,26944,32398,50103
7:4525,2688,18096,1866,1792,18861,39884,48263,40970,39828,50577,32878,44214,51744,224,47754,51464,21282,36015,28965,3,31943,-1,52799,39709,38112,0,29044,42785,30448,32845,31908,40422,32527,0,22378,49172,47649,0,51180,49597,22114,47899,64350,34272,28755,0,25951,27873,41850,51157,49879,46751,43222,51131,30909,-1,45618,44770,20195,41184,51067,37073,46993,0,51258,37244,50605,0,50972,50509,51576,36058,51226,27,34715,20107,45411,49911,45188,33660,0,48396,36974,47015,45475,47845,39945,46791,0,51219,22411,53049,47861,38860,50647,25245,31991,46690,50916
8:13447,15417,16420,17447,2516,2080,697,51089,51318,40656,68133,51046,51200,25662,43319,51358,49323,37702,51165,51523,48901,41820,51254,44813,0,49301,36765,49772,50304,0,50639,23923,0,50642,50249,50738,50776,43958,51219,51002,53791,0,47079,49912,0,51537,51185,0,51467,40994,22982,51477,50153,32571,44565,37567,0,48055,53053,47638,20477,0,42880,51447,48508,28319,51780,49296,51230,0,50977,50220,50052,50025,50762,47358,0,51084,0,47636,36008,51227,62445,62242,44494,25866,35691,29941,49470,0,51153,53201,51182,51081,51130,46326,51178,33814,30504,38594
9:15673,3734,3540,1932,1720,1344,19319,34105,47613,50976,35213,51540,64030,49614,51157,50261,49261,35412,33760,49222,47774,-1,45177,22753,28956,51071,51414,51154,0,42326,50959,21122,0,28214,49716,0,50586,48882,21004,22001,48139,51591,52398,0,39004,51303,27638,51222,-1,0,68242,0,50750,51982,51277,27221,51186,72921,0,51137,-1,49295,22738,32933,50883,50754,51060,50498,53509,0,0,47397,50173,52309,50943,44569,52034,22211,49364,0,43015,20967,40669,37102,38954,38194,44657,30345,50334,45801,51157,45839,25948,21332,51114,37877,38589,32647,22533,50933
10:5654,16867,1737,802,747,19256,39323,50094,39331,21765,23923,43981,49547,43608,20412,50907,40369,34350,51188,20377,76942,41515,56919,51332,-1,0,50674,50908,50216,31115,24895,0,37269,0,20914,34617,34068,0,51189,38682,48760,48034,46408,39602,36499,0,0,36834,25959,34655,0,51201,43325,26347,42435,51615,33423,32866,0,27570,-1,51878,27721,43813,47845,36113,51830,42253,33999,24207,0,39487,33978,50868,51157,50298,30168,23801,51853,0,20286,31915,46357,54543,32880,-1,51151,0,41595,45580,45519,22155,49471,44311,36313,43968,0,41569,46781,47998
11:4516,16263,16754,16857,16920,17070,17858,18251,18618,19117,818,692,19400,494,390,26449,32759,23406,37648,50276,51192,49202,39026,42745,39770,48574,22271,65117,28546,20978,25710,45146,46471,45411,48105,54271,38017,0,34212,67509,30760,37588,41823,0,47668,45807,0,49851,33164,34703,36244,51170,30977,0,49160,36335,38857,0,33236,44671,50295,43758,50190,50351,51223,0,66629,-1,-1,48648,43710,50977,28590,34981,50396,50732,0,48968,36752,53745,48134,48715,46763,34650,0,61350,0,26252,36393,49607,52570,39183,46129,43640,21035,22494,36680,0,35058,29647
12:16702,2062,43021,22132,56603,32993,47364,32189,28476,51222,46634,38907,51321,50828,51404,-1,51106,45041,0,63538,21519,44203,29206,36800,50625,32832,51133,50314,35784,58309,51455,48084,24171,51331,51173,51331,49027,34280,55133,50840,29617,23121,29669,1,45309,36714,40353,50973,50227,50412,33668,25572,38107,0,25047,51191,35328,0,40864,50543,43202,24000,51189,51129,50765,0,0,-1,-1,38805,34372,0,38400,50469,-1,51478,0,51816,22932,51331,51377,51033,49335,51209,26051,51760,48647,21025,56874,50523,53963,51289,63568,51630,0,27932,51327,0,52133,34469
13:15942,3616,2609,18040,1451,823,23412,29803,43527,36056,46394,45695,27936,23788,24473,30337,20085,39813,47689,25555,-1,29642,30803,0,33184,38410,37168,60310,0,21792,50649,49833,32934,38759,50732,29943,51544,51332,34692,24800,41732,51051,51175,33437,36182,10,38108,33698,43637,50891,51397,34148,50494,50850,0,0,71240,51308,51280,33852,51552,-1,26088,42379,38287,48965,0,-1,0,50667,48439,40784,51153,51635,40104,29297,46601,0,31129,-1,43503,52597,49515,23955,30427,20891,42440,19959,46975,43278,43248,-1,43821,45678,27492,26852,58553,27107,51380,48526
14:15454,16218,2966,2870,2759,2534,2495,2397,2143,1994,1732,1669,1655,18376,18818,1130,1102,1082,1015,941,914,906,898,850,814,603,19462,510,415,381,369,40696,33003,28904,41226,34646,0,164,22319,52206,48076,25900,0,40718,51419,25564,0,39691,35521,-1,26730,43134,52690,43650,21016,51191,43820,246,52910,51245,38,-1,38859,47986,45428,39676,50795,0,-1,51122,198,42414,-1,45145,49858,27954,0,-1,0,61543,38813,22151,50734,45081,25291,51332,-1,0,27535,35835,45985,41895,51237,32035,20932,36249,50944,46776,25186,0
15:4454,4087,3890,3800,3639,3558,2936,17424,2286,1883,1646,1592,1556,1405,1391,1360,1312,1238,1160,1145,18887,1104,1071,1046,989,959,892,863,841,753,614,510,497,469,466,462,429,417,414,19590,390,378,378,50459,56180,23286,305,146,272,35463,24616,42901,40898,20409,290,29627,45684,51332,51331,0,0,51225,275,50367,0,38784,307,0,51122,35064,21532,21789,0,51192,-1,247,51203,51053,4,51108,0,-1,51332,-1,-1,51282,-1,0,349,51332,0,51569,0,287,51332,51178,197,25134,51404,26234
16:7822,6465,15104,16072,3037,2914,2577,2542,2487,2482,2423,2310,2238,17863,2046,2042,1671,1627,1596,1531,18557,1391,1239,1194,1183,1143,1115,921,914,817,743,743,740,687,678,628,532,442,433,424,397,383,26298,39660,46100,22592,27958,51192,20710,61228,26977,30051,-1,36609,51460,34,257,23719,309,31645,20377,24347,25301,26928,36059,281,35064,50029,51227,0,345,292,-1,0,49656,26060,28290,100,-1,0,51192,4,28216,0,-1,51227,-1,51238,-1,0,39186,28286,-1,29524,51500,35791,216,47554,24166,266
17:4184,3827,3624,17048,2750,17364,2482,2477,2433,2274,2194,17965,1847,18225,1749,1644,1620,18463,1533,1505,1456,1440,1230,1170,1103,1088,1064,1063,985,982,19067,856,843,720,709,644,600,599,574,493,430,360,355,60386,30065,48389,22118,41094,23290,48657,58711,36314,28504,-1,46699,26269,39856,20878,49497,39373,28785,24523,24184,241,0,185,51591,51166,23900,0,20066,0,27252,23016,51332,302,30469,48852,270,44369,51362,0,187,-1,52475,38265,22842,43843,1,26155,-1,51330,0,51286,-1,51156,33102,51441,53866,23071
18:6488,14512,5328,4876,4798,15215,3457,3456,2854,17256,2743,2674,2620,2482,2266,2175,2137,1937,1712,1476,18569,1333,1284,1076,1053,18987,965,927,866,857,849,19214,749,744,742,658,653,649,608,606,573,573,559,529,523,503,464,426,376,31737,33835,30409,52485,20927,146,349,0,37041,23115,233,279,276,49860,0,23480,23481,22161,28398,-1,51691,29502,-1,20666,25376,28291,34239,38588,51226,32625,33915,0,21935,29432,19788,-1,49709,34489,47811,51192,0,21276,185,-1,51332,51261,51190,-1,51190,301,-1
19:15440,2880,2763,2308,1822,1770,1501,1246,1120,1108,1008,984,935,902,871,852,817,780,747,725,677,629,589,578,559,544,531,529,523,514,508,494,493,486,468,466,451,443,443,425,414,404,389,389,380,379,371,362,360,351,351,244,276,345,198,38430,247,0,30056,218,34897,0,266,114,-1,0,249,148,331,53018,294,271,305,19892,29190,29934,0,27515,46681,37786,44062,35506,49510,24526,0,302,24801,26812,0,298,51213,0,168,-1,51227,-1,265,-1,222,51166
20:3271,2780,2168,2096,1872,1377,1293,1177,1139,1093,1045,1034,996,972,898,897,854,835,733,732,728,724,665,662,650,634,616,597,565,557,552,551,533,528,521,520,510,510,503,490,483,482,480,477,467,453,413,378,374,374,357,165,195,35184,58285,288,315,245,348,323,271,0,-1,0,317,-1,0,22236,288,-1,181,203,0,27742,287,0,20524,0,0,236,221,296,-1,37509,22331,311,46917,0,32944,0,252,0,0,-1,22229,311,0,-1,192,-1
21:5502,16500,1398,1263,1152,1059,960,957,954,801,787,779,760,759,734,711,682,636,636,629,622,591,582,576,568,567,540,520,508,501,490,486,474,473,470,468,461,432,427,416,411,379,373,373,372,364,359,287,220,282,273,-1,237,320,23828,86567,51191,60296,339,299,149,295,246,245,59699,300,215,224,287,128,250,-1,-1,0,55388,0,164,51227,29500,342,172,344,0,-1,0,319,-1,58818,46624,236,51596,248,325,0,324,0,-1,261,302,-1
22:5806,5397,4408,15848,3904,3552,3119,2939,2851,2711,2555,2552,2172,2074,17941,2037,1995,1969,1875,1850,1763,1617,1602,1599,1599,1552,18507,1460,1442,1365,18717,1268,18787,1159,18956,902,891,832,792,566,542,522,479,439,434,415,415,389,384,378,35263,47706,331,166,33035,264,308,0,36960,33533,0,0,342,-1,245,297,0,20714,335,-1,39136,34779,30371,21667,58978,33218,53598,0,49883,29011,39440,33215,25684,-1,204,50016,31233,46771,0,-1,0,21898,27351,22217,165,0,0,48441,309,-1
23:4866,15139,4104,3652,3450,3387,3276,3139,2879,2841,2533,2487,2484,2453,2449,2401,2321,17698,2296,2264,2205,2085,2055,2040,2035,2027,2010,1970,1944,1873,1843,1784,1741,1737,1662,18345,1635,1495,1473,1467,1446,1429,1178,1052,985,893,877,864,827,642,623,554,551,447,29560,27097,0,346,36204,0,30926,0,19955,76877,336,51035,33849,20357,-1,36777,24728,65170,38846,59713,67150,42591,42276,0,271,0,20350,31232,0,39291,35030,19916,20311,46141,65432,20620,20417,22527,0,49403,34210,39875,0,54174,30296,51299
24:5801,4919,4914,15380,4423,16131,3582,16896,16987,17018,17086,2838,17198,2727,2515,17562,17620,2369,2298,2276,2264,2124,2030,1834,1782,1729,1634,18531,1349,18802,1171,39165,47930,36308,49843,33434,55176,21329,25929,53992,29058,0,0,45469,46881,37177,32743,25629,49845,51156,45387,56782,26629,32410,26016,37926,40151,23972,39167,20514,0,35177,32670,32074,23588,41734,21868,30057,20530,19987,266,22103,49528,46977,-1,0,23168,0,25620,0,-1,43431,36453,51186,45555,27567,0,27984,0,0,24922,322,21890,42081,51595,41395,37708,0,19799,-1
25:7259,14022,4508,4107,4093,3959,16086,3543,3092,2907,2877,2841,2837,2688,2457,2424,2395,2394,17883,1982,1916,1863,1830,1532,1411,1356,1177,18829,1028,987,815,759,19272,661,595,19583,39859,29703,36654,52923,42721,44647,36449,44300,30685,23172,48819,29449,31258,0,44406,24549,30050,70480,33601,39475,28066,47620,35000,36795,63944,51365,34317,55294,45186,0,46117,51663,42748,0,75221,24310,30658,20136,34699,23696,69247,37005,28795,31886,-1,23248,303,245,41754,-1,23391,0,31022,26851,0,-1,0,0,0,178,35384,0,0,49717
26:6585,5781,5599,15208,16040,3945,3732,3376,3283,3248,3081,16921,3074,3001,17102,2829,2757,2647,2624,17402,17436,17453,2419,2367,2322,2283,2211,2196,2151,2105,2037,2034,2010,18044,1917,1906,1899,1870,1836,1769,1753,1658,1585,1544,1516,1303,1249,1245,18923,1044,19021,710,19381,503,474,455,439,352,25113,21649,24235,43327,46406,24883,55921,317,44859,26600,58832,-1,-1,25661,-1,56222,41615,0,26934,27957,0,22179,0,0,21429,62876,29327,35258,23689,42482,40761,51227,0,51145,23504,0,0,0,66661,45781,21049,-1
27:5778,5449,4670,4453,4426,4138,4138,3866,3786,3478,3094,17181,2604,2522,2121,2082,1961,18054,18270,1669,1599,18427,1430,1354,1274,1248,1166,1148,18856,1059,38699,29301,21695,44669,39599,32840,0,25210,25348,22548,21216,0,41000,51192,40406,45496,55059,29528,36471,20475,32841,42893,44426,57027,26048,60221,48884,-1,47600,30999,0,47871,51108,26683,38495,49191,62091,41529,32415,60304,24475,0,0,24549,50009,57900,50063,25005,0,22074,-1,0,-1,0,304,26407,0,0,0,43318,45100,51580,51195,0,34144,0,0,0,34625,33073
28:5489,15515,3436,16709,3248,3242,3042,16987,2904,2866,17295,17456,18038,1959,1904,1815,1806,1749,1725,1580,1441,18663,1261,18802,1146,1103,721,561,490,389,49673,30322,57869,36215,25450,41686,56732,36912,22290,0,0,37415,31808,39525,46227,275,39878,38974,59140,31003,25903,44300,26633,30776,31037,34379,27200,30368,-1,39913,36809,0,29988,0,31993,51227,50544,57907,23361,28012,20734,22787,0,41917,22345,20942,0,22506,-1,50453,23136,-1,48403,34208,0,42478,51670,19803,51323,0,24156,46122,41066,34511,22134,51379,51324,0,-1,190
29:4711,3545,3160,2987,2838,2837,2682,2511,2486,17599,17608,2368,2329,2228,2212,2188,2163,2127,2099,2037,1988,1969,1920,1915,1906,1800,1780,1757,1734,1711,1706,1697,1644,1629,1494,1483,1475,1473,1451,1443,1414,1409,1379,1360,1350,1325,1324,1273,1258,1246,1227,1191,1165,1138,1136,962,901,743,629,621,39914,23880,61445,36818,-1,-1,50516,27571,61469,314,20961,33100,29892,32166,0,216,35454,203,0,0,258,36585,39456,-1,69507,57218,0,24409,42371,0,-1,34220,27514,-1,51201,0,52774,0,-1,172
30:4664,4412,15967,3697,3400,3276,2998,2795,2716,2682,2655,2646,2617,2563,2542,2531,2508,2409,2409,2394,2330,2329,2311,2285,2199,2184,2153,2078,2073,2023,1998,1998,1942,1928,1883,1880,1877,1877,1857,1703,1684,1656,1635,1624,1622,1584,1573,1563,1544,1494,1468,1431,1326,1290,1284,19037,889,19125,579,437,30621,-1,47742,0,28687,21109,-1,0,38350,0,33933,0,0,20347,24923,43617,23050,27790,47689,51227,25397,47095,33570,29104,21213,0,-1,71118,0,-1,317,25013,0,51187,-1,24675,0,0,-1,313
31:5571,5307,5279,4162,4075,3998,3901,3808,3240,3178,3166,2986,2972,2965,2868,17295,2647,2569,2449,2448,2436,2408,2362,2336,2321,2321,2299,2267,2247,2217,2177,2175,2125,2051,2040,1955,1837,1808,1754,1731,1723,1711,1708,1705,1686,1629,18394,1568,1542,1538,1500,1436,1427,1258,1197,1179,1138,18889,1075,1026,964,19247,753,462,68509,-1,28075,0,22745,0,26955,-1,25468,21314,46309,0,20867,45834,94,300,48716,0,0,0,24607,0,0,24078,146,23076,0,0,0,38699,0,-1,0,0,0,-1
32:5789,5128,4564,4133,3714,3576,3300,3104,2997,2972,2955,2954,2828,2807,2709,2685,2634,2614,2557,2529,2509,17642,2336,2320,2238,2206,2181,2174,2082,2082,2060,2055,2009,1906,1794,1704,18305,1485,1427,1412,1406,1366,1174,968,653,19502,34777,25879,41729,34936,46747,38385,23149,25663,52954,19850,44070,56427,34022,26611,45875,320,21320,0,0,236,20257,-1,270,0,31558,29339,0,51352,41868,41054,35938,26278,-1,0,35725,51254,291,47014,31980,27130,27360,0,35587,0,0,24703,0,37956,0,-1,0,0,0,-1
33:5120,4968,4582,4352,3237,3199,16819,3119,2988,2845,2785,2586,2467,2414,2136,18121,1851,1803,1652,18791,1103,985,820,685,19340,19353,59105,47874,61765,38258,42840,56334,34281,38641,20126,47628,28428,34209,56581,43103,36726,19835,34975,25072,54398,-1,32792,29432,21665,22986,30004,61085,-1,29424,51188,43112,-1,20362,62917,38321,42643,19825,31369,37270,31585,31120,81778,54280,28085,54162,22292,32814,25509,40371,0,29011,21344,56879,0,0,39168,27509,-1,45025,21438,24072,51087,0,43933,40653,48919,45984,0,24108,0,0,0,0,0,-1
34:6241,5947,5414,5333,5205,4866,4819,15239,4593,4430,4426,4321,4056,3876,3756,3654,3634,3513,3291,16865,3061,2950,2842,2660,2659,2621,17420,2452,2349,2299,2223,2127,2058,1862,1693,1661,1541,1441,1382,1250,1217,711,669,463,42445,36777,24513,26811,23564,24569,33647,0,27925,0,41763,35433,20001,24377,29525,48577,25035,23229,45217,59542,71505,27095,19767,23022,54143,40936,24560,0,0,53594,22535,48745,49779,39792,20280,31393,21889,43085,93753,20223,25403,0,-1,0,28298,0,51674,34880,-1,51236,0,0,0,0,0,0
35:6531,6057,5508,5416,14649,4953,4817,4711,4523,3877,3855,3695,3636,3483,3352,3168,16832,3165,3050,2866,2829,2825,2717,2587,2444,2383,2352,2346,2329,2244,2142,2076,2031,2010,1968,1948,1739,1717,18296,1609,1549,1533,1493,1456,1423,18985,19023,686,643,585,467,29311,32547,44165,55022,51285,50023,49622,25289,32465,33667,25572,52869,37418,20764,-1,312,41419,0,0,0,0,0,0,22934,26052,20085,37886,34389,0,0,25102,0,50983,0,0,0,29228,0,37290,0,24052,20348,-1,0,0,0,0,0,-1
36:5752,14699,5246,4899,4801,4671,4658,4523,4512,4494,4486,4276,4030,3693,3484,3319,3272,3204,3200,3194,3083,3013,2618,2554,2516,17488,2476,2407,2358,2139,2114,1946,1933,1595,1586,1473,1352,18852,1054,998,938,526,454,41075,21518,43218,35149,21470,33267,39270,42990,32983,27064,341,0,49174,52888,29050,21019,22255,26771,32616,0,29402,47575,20129,33052,19749,25770,31405,34490,0,28052,0,0,23553,0,0,51332,0,0,0,36028,49715,30226,0,35638,22791,47946,0,0,41593,0,51124,52438,0,0,0,0,52182
37:6646,6022,5264,4798,4706,4340,4208,4151,3939,3936,3699,16417,3521,3458,2911,2756,17261,2306,2233,1773,1680,1322,1202,1072,18940,974,19128,845,742,19344,19612,357,48068,29293,26132,31616,39828,22945,59527,39235,21592,26280,45172,35389,34399,48628,23075,0,35395,47548,-1,330,23688,26491,31996,44672,0,-1,37669,21405,26994,37301,43040,60725,53192,35088,50431,37873,45476,24224,21100,0,35646,36200,25916,0,0,0,25581,0,51086,-1,0,0,27438,24104,0,25413,21013,37264,0,20539,0,36240,-1,0,0,30363,0,70804
38:6247,5412,3447,16833,2917,17856,17899,17918,2007,1668,18640,763,52540,78326,63376,29979,39906,25078,35302,30559,34951,27778,41581,49647,49889,44899,28485,72783,53590,39252,70086,51839,34156,54240,20071,40754,44171,51329,52154,19686,24343,49610,47743,29653,84676,44426,41154,63768,53919,36553,51452,50015,31513,37835,54076,21504,61828,-1,22131,28808,39136,35023,33294,33322,-1,50702,0,43833,65474,42081,27130,34606,41279,39474,49176,46777,34890,0,53298,0,38422,32214,57654,-1,41999,0,35267,0,57743,40996,38893,0,39480,0,42605,-1,57747,0,0,32782
39:7325,15064,4844,4062,16184,3532,3391,3183,3167,2950,2839,2727,2671,17490,18201,18398,1446,1317,18832,658,378,57404,42549,32858,44666,29816,48156,76324,61609,33739,41213,26672,38285,0,47391,64975,30217,61380,46243,39282,41596,0,44205,46480,28059,-1,22201,-1,75733,48764,-1,0,35372,24875,21400,30554,61238,62098,43708,33667,41427,57085,38761,34976,28550,31201,28652,-1,0,0,20977,50862,-1,35179,59466,0,22974,0,64739,46445,48865,26331,42765,58227,44952,54375,64865,0,63180,35556,50725,0,0,0,23755,-1,45244,0,0,36970
40:5046,3850,16309,3684,16451,3489,3160,16927,17088,17709,1606,1565,1064,19423,50922,23306,28907,49818,47749,42012,20632,86441,36693,54342,43952,36931,49656,-1,29042,34981,22836,37199,52019,37369,60207,53601,37919,60871,51317,42583,24871,-1,42826,64781,0,0,44999,54512,43806,46009,46369,33058,-1,58320,45698,26003,32327,0,32424,50679,27581,58258,25289,28625,22588,30254,22884,29901,0,-1,0,46169,56481,0,-1,25110,0,0,42087,0,29066,0,49275,37890,0,56869,26843,73917,0,0,49403,61121,0,0,47573,0,21683,0,21989,23341
41:7367,6552,6386,5500,5308,5233,4923,4784,4466,4402,15888,4034,3978,3957,3889,3643,3606,3596,3449,3374,3332,3278,2958,17078,2769,2741,2729,2552,2078,2035,1748,1722,1699,18541,1426,1401,1264,18762,973,902,19181,19576,358,52764,22303,22580,26058,38787,22654,27421,32988,32278,51192,0,-1,24091,228,25807,59374,224,36557,29845,46325,24888,0,27780,31950,24828,0,29979,37473,0,0,-1,0,38532,30084,0,-1,0,0,23887,0,54469,37738,40451,32879,0,24653,22249,27417,49321,0,0,36392,29780,31755,0,42904,53860
42:13249,5941,5631,5553,5475,5456,4845,4790,15691,4163,4159,4117,4106,4065,4064,4033,3920,3889,3653,3577,3557,3515,3483,16742,3188,3103,3002,2874,17482,2406,17867,2025,18027,18136,1818,1535,1368,1283,19115,527,445,22474,27675,45420,41297,35992,24392,49724,26150,20527,0,0,64599,27358,24624,28888,51337,23784,31932,0,25925,19699,27993,61081,79243,44993,0,51220,27803,52034,0,44698,33337,314,39840,29499,25432,33409,0,37282,26159,49823,39744,32935,46861,27831,-1,33043,53247,-1,0,0,0,0,26843,0,-1,0,28250,20459
