1:50129,49863,49648,49562,50930,51126,48707,48608,48202,52130,47793,47649,52565,46633,46438,46199,45704,45677,45663,45473,45315,45120,54903,44767,43871,43572,43545,43535,43243,42442,42420,41378,40004,39672,39390,39023,38920,38265,36918,35670,35614,35089,35056,34888,34473,34285,34277,34149,34005,33482,33238,32972,32819,32557,32385,30028,29999,29916,29361,28725,28580,28239,25737,25700,24904,24655,24613,24129,23576,23214,21872,21655,21163,20183,19252,17656,17598,16973,15747,14355,12997,12698,8552,7876,7795,7709,7197,6965,6807,6138,6024,3856,2519,0,0,0,0,0,-1,0
2:50046,50679,48887,51192,48624,47181,45910,45208,45006,44989,44075,43916,41743,41446,41335,41212,41026,40941,39894,38670,38642,38302,38279,37556,37351,37183,35457,35349,35274,34697,33464,32950,31314,31205,30928,30479,29489,29171,28388,27499,26987,26578,26532,26370,24208,23890,23598,23163,22101,21634,21631,21045,20950,20932,20768,20578,20520,20196,19690,19616,19612,19389,18563,17674,17134,15912,14862,14800,13625,13401,13273,12737,12266,11070,11032,10599,10431,10279,9765,9055,9034,8452,8299,7361,6672,5639,5336,5314,0,0,-1,0,-1,0,0,271,0,0,-1,0
3:49826,50869,51121,51122,51192,51244,48698,51713,51978,47243,43200,42930,42537,41499,40145,60602,38021,36895,35960,34948,34670,33202,30282,29822,27530,27131,26486,26348,26173,24865,23210,22796,21217,20649,19966,19275,18460,18148,17996,17730,16608,16413,15965,15890,15073,14768,13701,13568,13172,12699,12525,11887,11339,11303,11190,10923,10883,10270,10220,10182,10164,9809,9613,9526,9135,9048,8832,8804,8090,7764,7064,6987,6807,6388,5464,5158,4942,4922,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0,-1,-1,-1,0,0,0,0,166,26,-1
4:49990,50470,50478,50676,50686,50974,50978,50991,51047,51120,51162,51192,51227,51243,51262,51320,51332,51332,51419,42298,63125,33380,33297,31897,31858,28093,27182,22117,20894,20824,19634,19500,19052,17823,17588,17491,16685,16269,16211,14895,14751,14299,14257,14178,13980,13549,13284,12992,12533,12452,11008,10609,10316,10248,10032,8768,8736,8346,7679,7575,7353,7248,6892,4787,3418,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,0,0,0,0,16,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0
5:49942,50217,50236,50478,50599,50838,50924,50973,50989,51003,51046,51077,51091,51139,51157,51157,51169,51179,51183,51184,51188,51191,51211,51215,51227,51227,51227,51227,51261,51280,51288,51323,51324,51330,51330,51369,51415,52039,47033,45610,42145,30135,24154,23798,22194,20251,18561,16669,10432,9885,8960,6584,6138,6093,4819,-1,-1,-1,-1,-1,444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0
6:50229,50233,50289,49658,49639,49621,50384,50484,50533,50615,50691,50693,50825,50870,50871,49111,50898,51003,51056,51082,51082,51109,51122,51153,51154,51154,51157,51176,51189,51191,51191,51192,51192,51197,51227,51231,51259,51280,51296,51329,51331,51332,51332,51403,51473,48513,48372,48179,48169,46241,44363,24844,22954,21530,17609,17589,17377,16658,12206,10814,10130,9908,9882,9420,7197,4694,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,0,0,0
7:50499,50830,50992,51009,51044,51121,51122,51156,51156,51157,51157,51178,51187,51192,51205,51212,51214,51225,51245,51257,51263,51268,51330,51331,51332,51332,42638,40699,40170,35692,33359,31756,24150,23773,21774,15388,14297,10114,3959,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,0
8:50102,50201,50247,50276,50316,49643,50379,50827,50847,50853,50929,50979,51027,51029,51062,51089,51097,51113,51160,51162,51186,51189,51190,51190,51192,51192,51201,51211,51213,51226,51227,51227,51228,51252,51257,51289,51312,48687,51331,51331,51332,48656,48241,47827,47821,46457,44830,41873,39601,37611,34212,32427,31549,28502,20326,17394,17053,16544,16154,15293,11350,6051,5067,-1,-1,-1,-1,-1,-1,0,1316,0,0,-1,0,-1,-1,0,0,-1,-1,0,0,5,0,0,-1,-1,-1,-1,-1,0,0,-1,368,-1,-1,0,0,0
9:49999,49888,50182,49801,50410,50478,50550,50592,49364,50868,49040,50980,50995,51037,51097,51122,51130,51144,51155,51155,51157,51183,51186,51240,51242,51250,51271,51271,51308,51331,51402,48269,48065,47637,47539,47534,47002,46611,46162,45253,44296,44099,56277,56437,43515,43499,41353,37582,37327,35596,35278,34954,34517,34147,33152,31443,30740,30678,30274,29404,28422,23174,20888,18798,15787,15630,12357,9851,9229,4754,-1,-1,-1,0,1367,0,-1,-1,-1,-1,1452,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,0
10:50046,49936,50078,49872,50288,50372,50437,49514,50506,50575,50731,50809,50862,50864,50951,49036,49034,51033,51101,51105,51121,51130,51157,51186,51201,48784,51222,51227,51234,51235,51262,48733,51332,51436,48522,48332,48048,47936,47932,47774,47756,47752,47635,46810,46463,45930,45686,45393,54891,44483,57555,41833,40833,40716,40184,39437,39237,38853,61781,37611,36575,34358,33827,33607,33421,25776,22860,22394,22066,21576,20409,20338,14928,14462,14332,10763,8853,8186,4591,0,-1,0,-1,0,-1,-1,0,-1,-1,0,0,-1,0,-1,0,0,0,-1,-1,0
