1:4.22,3.192,2.06,2.046,1.142,1.074,0.98,0.95,0.89,0.41,0.404,0.39,0.388,0.388,0.388,0.382,0.382,0.378,0.374,0.364,0.358,0.356,0.346,0.344,0.308,0.298,0.246,0.206,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:6.116,4.214,4.204,4.092,4.084,3.898,3.802,3.784,3.306,3.214,3.036,2.726,2.29,2.284,2.136,2.118,2.114,2.046,2.018,1.918,1.906,1.804,1.744,1.21,1.156,0.992,0.468,0.424,0.422,0.418,0.406,0.4,0.382,0.358,0.354,0.306,0.298,0.008,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:6.224,5.996,5.762,5.604,5.498,4.52,4.486,4.382,4.284,4.258,4.206,4.188,4.024,4.014,4.014,3.982,3.974,3.964,3.88,3.876,3.866,3.828,3.79,2.252,1.68,1.654,0.38,0.374,0.358,0.344,0.332,0.318,0.304,0.298,0.276,0.272,0.212,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4:6.33,6.128,6.116,6.112,6.066,6.02,5.992,5.972,5.958,5.922,5.822,5.81,5.8,5.68,5.642,5.614,5.586,5.566,5.492,5.148,3.866,3.762,3.704,3.59,1.546,0.304,0.304,0.28,0.268,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5:6.546,6.512,6.486,6.376,6.3,6.268,6.254,6.142,6.138,6.124,6.096,6.038,6.018,5.98,5.91,5.878,5.83,5.818,5.77,5.736,5.69,5.688,5.662,5.638,5.614,5.438,5.396,5.328,5.266,5.204,5.188,1.372,0.248,0.004,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6:6.452,6.434,6.418,6.388,6.328,6.258,6.21,6.206,6.166,6.15,6.1,6.074,6.064,6.046,6.02,6.008,5.988,5.976,5.964,5.954,5.936,5.91,5.898,5.874,5.862,5.844,5.82,5.802,5.764,5.748,5.718,5.668,5.65,5.606,5.552,5.422,5.418,5.214,5.188,0.264,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7:6.438,6.31,6.222,6.208,6.204,6.202,6.196,6.182,6.17,6.154,6.146,6.126,6.122,6.112,6.038,5.98,5.974,5.946,5.942,5.882,5.876,5.876,5.874,5.858,5.844,5.82,5.802,5.752,5.742,5.696,5.668,5.656,5.652,5.62,5.578,5.57,5.542,5.442,5.378,0.24,0.196,0.008,0.004,0.004,0.004,0.0,0.0,0.0,0.0,0.0
8:6.512,6.478,6.474,6.416,6.402,6.376,6.368,6.344,6.292,6.236,6.212,6.166,6.162,6.156,6.116,6.098,6.088,6.078,6.072,6.07,6.054,6.032,6.022,5.994,5.992,5.984,5.966,5.93,5.92,5.896,5.888,5.88,5.878,5.848,5.788,5.724,5.698,5.678,5.644,5.602,5.466,5.424,5.388,0.28,0.222,0.004,0.0,0.0,0.0,0.0
9:6.696,6.544,6.53,6.494,6.474,6.434,6.41,6.342,6.294,6.262,6.256,6.252,6.238,6.234,6.224,6.22,6.206,6.196,6.166,6.136,6.106,6.106,6.032,6.02,6.002,5.966,5.964,5.942,5.934,5.93,5.928,5.92,5.916,5.894,5.856,5.782,5.774,5.77,5.762,5.716,5.684,5.626,5.504,5.442,5.408,0.26,0.204,0.004,0.0,0.0
10:6.708,6.568,6.532,6.474,6.446,6.442,6.308,6.296,6.294,6.25,6.204,6.184,6.138,6.118,6.104,6.098,6.094,6.09,6.08,6.072,6.07,6.052,5.994,5.98,5.942,5.932,5.906,5.882,5.88,5.86,5.852,5.832,5.806,5.762,5.742,5.74,5.686,5.65,5.63,5.58,5.566,2.994,0.204,0.188,0.0,0.0,0.0,0.0,0.0,0.0
