1:412,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:4379,2807,2072,1442,1343,926,868,602,539,350,307,276,253,193,180,98,69,14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:1929,1870,894,588,407,314,301,289,187,168,157,154,132,102,96,82,17,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:3669,2727,2159,1753,1750,1684,1390,1321,752,491,435,424,424,350,324,289,279,272,223,221,119,113,91,56,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:3319,2515,2126,1911,1164,1087,1027,1003,807,802,782,762,751,699,603,600,577,413,408,381,335,303,290,281,210,150,95,82,72,55,50,38,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:6699,5126,4847,3191,3081,2992,2954,2847,2843,2111,1625,1402,1126,1057,1051,1031,779,736,650,647,637,622,609,577,496,465,351,321,274,259,245,210,192,184,169,138,136,47,42,0,0,0,0,0,0,0,0,0,0,0
7:6599,6540,6069,5921,5580,5552,5490,5460,5328,4510,4484,4250,4013,3109,2913,2715,2143,2090,1674,1636,1621,1297,1182,1113,1047,1028,991,856,796,746,699,686,646,423,346,345,228,79,0,0,0,0,0,0,0,0,0,0,0,0
8:70763,7138,7094,6996,6900,6704,6510,6454,6307,5620,5602,5596,5092,5029,3883,3507,3388,3216,2979,2841,2514,2223,2081,1696,1629,1513,1497,1298,1216,1101,1072,799,621,559,386,247,173,130,104,0,0,0,0,0,0,0,0,0,0,0
9:42854,40073,79138,84068,6764,6746,6619,6617,6415,6401,6231,6220,5968,5851,5848,5837,5722,5712,5547,5253,5077,5063,4983,4963,4792,4249,4073,3832,3657,3166,2725,2570,2364,1583,1520,1443,1200,1046,493,133,105412,0,0,0,0,0,0,0,0,0
10:61573,63306,64684,69778,28021,72714,79561,18692,82697,84598,14023,88620,88864,89722,90489,90955,92014,93001,93114,6029,6004,5113,4532,4509,95758,4142,3986,3848,96250,96518,3291,2936,2324,2209,2170,2143,2076,1512,1463,1159,512,397,58,104661,0,0,0,0,0,0
11:46858,42342,42022,41552,58507,39875,38918,61845,62806,33611,32743,70049,72665,75607,18663,16158,85882,85946,86932,87049,87223,87598,88518,88786,10710,89710,90432,90617,91216,91489,92683,7166,6660,93864,93958,5524,5434,5153,95140,95291,95625,96375,97526,1168,542,99571,100743,0,0,0
12:61839,61903,62800,64797,64831,64925,68309,69583,70690,74583,23248,77065,22336,77990,21549,80371,81131,83924,84483,15199,84832,15165,85526,13984,86284,86334,86750,12571,11835,89957,9901,7946,92219,92744,6650,93820,4906,95184,2417,99280,231,39,100553,101339,111656,0,0,0,0,0
13:58094,41207,40460,63424,63712,64466,65629,65990,67405,70810,71693,25467,75072,75629,76950,79885,80731,81002,82641,83864,84117,84750,85362,88962,89235,89825,90916,91612,91909,92099,92943,7042,92963,93320,93488,5456,95262,97821,99038,99526,146,100407,100639,102124,0,0,0,0,0,0
14:51922,40949,40758,59414,40195,62526,63706,36138,66004,33110,32156,30817,69367,70459,70510,71539,27843,75646,76512,22084,78936,79002,80658,81209,83956,84019,84814,85263,85317,87290,88452,88793,89222,90567,92396,92773,7046,94006,5785,5761,95403,1935,1773,98570,689,108036,0,0,0,0
15:40239,60436,62875,64855,66526,68230,31734,71817,72512,26439,74321,24601,75481,76717,78128,21778,79281,19965,80680,80969,82661,85381,86400,86402,86429,87050,12164,88538,88620,89467,90236,92236,92393,92605,93431,93529,93939,5761,4148,96018,3062,2483,724,251,69,108564,0,0,0,0
16:42577,57883,61458,62355,37624,63090,63351,63607,63701,35086,34083,66181,33569,67933,68398,68721,69041,29894,70820,28356,27882,73340,26295,75410,78272,78590,78761,79855,80901,81619,83507,85056,12912,87922,11024,89192,93767,94235,5645,5338,2491,1686,98498,116,103420,0,0,0,0,0
17:60671,62026,35292,65582,65585,33220,31406,68601,69784,70414,29555,28675,71970,73035,26176,75810,22204,22181,77821,21412,21269,18946,81597,82420,82461,17151,83066,16439,16099,15287,14014,87599,12002,11946,9713,91589,6916,6354,93922,6009,4905,4564,3827,388,0,0,0,0,0,0
18:51072,43526,39091,37612,63335,36207,35995,34994,65641,33047,31311,68798,70043,70460,27951,72169,27508,72759,72763,72971,25806,25553,75781,23796,76650,77478,77985,78603,20191,19065,80970,82515,17134,83132,83555,83556,84832,87593,10518,91702,92228,6744,94050,5769,5739,5677,205,0,0,0
19:48087,54053,44111,59241,59675,59783,38918,61141,61691,37606,36130,36097,63981,65009,67305,67597,67676,30576,69449,29410,28858,73031,73816,74091,25878,74711,79143,80349,19308,81112,81266,83587,84773,85889,88208,89151,89529,89783,90339,91460,8355,95328,95453,3605,3546,1767,357,0,0,0
20:52051,54540,44608,56024,57655,58131,60816,38841,38257,37631,62469,35931,34530,33478,66573,30896,69959,29960,29252,71063,71279,71752,73140,73683,24670,75367,24320,24270,76763,77721,77895,22038,78248,78345,80599,80675,11925,11782,93302,3341,354,100849,0,0,0,0,0,0,0,0
21:52820,57197,57837,41533,36766,36116,66089,33502,66578,33154,67293,32583,32457,67701,69063,30744,70885,71093,71262,72916,73378,73750,75964,22972,22781,77506,21140,80030,81122,81179,81902,82063,17261,17230,16978,83121,85035,85276,85985,86866,9550,98037,0,0,0,0,0,0,0,0
22:47139,45335,55739,56114,41739,59144,59587,59738,36943,63477,64293,64357,64390,35057,65225,65324,66417,66607,32929,67924,68573,71426,71432,71791,72945,72994,73236,73523,25024,23272,77264,78526,80988,17859,83821,15818,84790,13471,91106,8418,93145,4099,2356,0,0,0,0,0,0,0
23:51006,51192,56025,43739,57654,58158,41699,41560,61037,36678,35501,34687,66178,66607,67046,67763,67776,31078,69271,70591,27152,72849,73044,73875,74087,75438,75679,75798,76214,77254,77384,77673,21224,79618,80247,80507,18330,16388,83882,87174,11300,5883,792,-1,0,0,0,0,0,0
24:50797,50982,51315,47520,41727,59093,40839,40489,59908,62341,62605,36379,64406,35555,33294,31211,69322,71444,27820,76878,23089,77077,77745,79308,20325,80123,81032,81329,18462,84801,9839,7715,5371,4400,3222,2027,1881,1419,808,100743,-1,-1,0,0,0,0,0,0,0,0
25:51157,51332,51364,48089,47118,46912,54377,56794,40931,40217,60156,39294,38120,62186,62234,63049,36036,68700,69857,70516,72817,27041,26238,23408,78148,21629,19654,18423,83754,11878,10279,7824,6552,2726,2596,2042,1470,-1,-1,0,0,0,0,0,0,0,0,0,0,0
26:51122,51126,51157,51188,51192,51211,51276,51332,48538,52447,46771,45711,54355,44508,42843,58798,40412,65087,65397,33661,66618,33197,71615,27745,27487,74003,74560,24093,76673,78096,84442,85770,86787,12872,12115,92120,95815,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
27:50050,51195,51290,51295,51647,48004,52471,45703,44473,43887,41173,40035,34324,68774,31199,25770,24539,20667,20598,20270,17095,15714,14851,12906,12372,10976,10822,9742,9171,9091,8700,7485,7130,4552,4414,2621,2394,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
28:51154,51159,51176,51188,51192,51220,51256,51260,51330,51332,51463,48531,52395,52596,46040,44141,40100,68440,69181,69547,29816,72812,26851,26170,24587,20944,79140,85170,12644,11815,10232,7052,1684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
29:49691,51120,51138,51157,51158,51164,51227,51252,51382,51384,51410,51435,51605,48393,48385,48293,51747,46686,46500,46284,44222,44047,41135,39726,32779,26130,76772,22260,80624,82094,14462,12412,9644,6065,4120,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
30:50729,50736,50847,51092,51167,51192,51239,51270,51332,51391,48481,48429,51875,47980,47553,53515,45269,41221,35593,33161,26262,85180,12419,6649,93365,94453,3253,1780,127,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
