1:515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:19766,2284,948,780,756,710,668,666,539,428,367,292,237,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:43178,34616,26248,18948,15200,15004,14675,11590,6469,3834,3796,2571,2005,1787,1354,1215,1047,811,797,764,693,613,575,510,470,458,417,351,264,155,99,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:53133,47727,46270,40806,31469,31038,30751,29249,26464,23718,23381,23099,21726,20244,17809,17794,17523,16422,15843,15692,14524,13324,12674,10742,2705,1958,1518,1356,1235,1220,1179,1159,985,980,839,829,312,236,0,0,0,0,0,0,0,0,0,0,0,0
5:51119,49349,49050,48899,48728,48726,48494,47723,46623,46523,46186,45319,45054,41886,41820,26213,25859,25514,23961,23668,23307,22326,18424,17331,15824,15738,14648,14450,14422,12207,7372,2095,913,855,686,552,465,465,354,295,166,0,0,0,0,0,0,0,0,0
6:56975,55950,55068,53924,52612,51071,49945,49779,49712,47916,47765,47539,47120,47027,46112,45960,45828,45256,44523,43921,43381,41063,31480,31185,26449,24725,23786,17628,16657,16591,16036,12768,644,528,493,448,265,248,232,0,0,0,0,0,0,0,0,0,0,0
7:62049,60560,59917,59506,59381,58563,57969,57667,56309,55735,55403,54567,53857,53705,53244,53086,53035,52782,52555,52439,51831,51720,51665,51548,51336,50964,50146,48204,47347,47260,45262,30600,29662,28820,28639,26556,20211,16708,16195,1396,1035,825,559,439,287,0,0,0,0,0
8:60193,60122,59163,58818,58777,58667,58482,58116,57690,56895,56895,56191,55671,55620,55538,54693,54472,54185,53762,53716,53329,53096,52912,52745,52272,52109,52073,51468,50890,49702,49532,48488,46056,44086,28906,28842,28785,27125,16953,4200,1285,929,679,487,119,77,1,0,0,0
9:62632,62019,61212,60753,59897,59806,59705,58940,58714,58671,58524,58490,57865,57712,57491,57007,56658,56636,56533,56436,56105,55962,55794,55605,55374,55363,55145,55080,54603,54538,54384,54281,53752,51531,51498,50337,49887,48120,29141,28924,3774,1045,505,483,366,32,-1,0,0,0
10:63568,63129,62824,62481,62271,62204,62187,61980,61961,61933,61773,61766,61715,61620,61574,61405,61155,60989,60799,60650,60439,60242,60176,60160,59628,59568,58905,58629,58523,57814,57048,56697,55948,55730,54933,46741,28456,26840,2987,2003,1785,842,0,0,0,0,0,0,0,0
11:62416,62367,62269,62018,62005,61582,61020,60933,60653,60545,60458,60432,60261,60099,59913,59730,59427,59306,58902,58656,58460,58391,57846,57096,57090,57072,56449,56363,56334,56215,55703,55636,55523,54868,54390,54184,52434,52428,48938,27200,23789,3961,3483,2338,-1,0,0,0,0,0
12:62725,62273,61996,61662,61583,61379,61324,61284,60863,60776,60771,59856,59844,59713,59442,59111,58923,58885,58766,58694,58348,58316,58065,57943,57819,57580,57259,57216,57207,56922,56893,56837,56693,56493,55697,55614,55560,55099,54153,51074,46046,31557,4908,1492,-1,-1,0,0,0,0
13:63731,63598,63017,63013,62903,62431,62021,61864,61741,61316,61292,61114,61055,60989,60900,60868,60611,60528,60332,60053,59699,59478,59332,59264,58783,58782,58640,58489,58219,57845,57799,57160,57095,56337,55907,55547,55345,55251,53185,51587,51028,50197,3078,2107,1279,1222,833,-1,0,0
14:63728,63601,63596,63218,63115,62855,62724,62714,62296,62134,61990,61922,61876,61857,61579,61536,61443,61420,61170,61119,61068,60889,60742,60300,60157,60013,59974,59871,59687,59374,59219,59216,59069,58990,58196,57421,57241,57113,56313,55655,55411,55341,23041,5509,4070,4,0,0,0,0
15:63825,63294,62255,61525,61226,61089,61006,60438,60422,60348,60323,60197,60132,60099,59582,59572,58991,58854,58845,58460,58424,58319,58124,57357,57355,56912,56622,55710,55699,55419,55333,55275,55163,54667,54365,53159,52927,51639,46519,17166,2213,2194,1486,1110,-1,0,0,0,0,0
