1:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:43787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:43763,43769,43769,43771,43772,43772,43775,43776,43786,43788,43796,23899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:43754,43757,43765,43765,43766,43766,43766,43768,43769,43774,43775,43779,43779,43779,43779,43788,43789,43789,23684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:43354,43735,43746,43748,43750,43755,43756,43758,43766,43766,43768,43768,43770,43770,43773,43773,43775,43776,43776,43776,43780,43781,43786,43786,43789,43789,43792,23359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8:43119,43134,43171,43464,43732,43750,43754,43756,43758,43764,43767,43767,43768,43771,43771,43772,43772,43773,43773,43773,43774,43775,43777,43777,43777,43778,43780,43781,43782,43784,43784,43785,43785,43789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:42716,42932,43086,43099,43112,43112,43112,43136,43138,43173,43174,43202,43226,43247,43290,43296,43327,43379,43380,43427,43742,43746,43750,43754,43757,43758,43758,43763,43763,43765,43767,43768,43770,43771,43774,43775,43777,43781,0,0,0,0,0,0,0,0,0,0,0,0
10:42598,43015,43086,43152,43189,43222,43243,43264,43292,43295,43298,43309,43315,43326,43334,43346,43358,43362,43362,43371,43373,43395,43414,43428,43442,43443,43447,43462,43482,43488,43507,43553,43753,43760,43777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
