1:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:9510,138,121,108,86,60,58,55,46,45,45,40,33,30,21,19,16,13,10,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:9747,7740,7064,7064,6977,5865,5709,4600,34,26,21,19,16,15,15,15,12,9,9,8,7,7,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:17211,17085,14747,14725,14662,14455,14024,13142,12343,12191,12165,12153,11976,11929,11908,11298,11098,10654,10398,10306,9882,9619,9313,8360,8231,568,274,199,177,169,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:20262,19135,18441,17259,16310,16284,16240,16232,16101,15729,15608,15326,15112,14920,14711,14600,14564,14435,13711,13655,13568,13474,13363,13078,11355,11209,11129,11039,10752,10692,9741,9588,8623,8221,965,484,207,128,0,0,0,0,0,0,0,0,0,0,0,0
6:18581,18463,18314,17908,17902,17492,17347,17343,17295,16406,16345,16044,15467,15411,15356,15311,14885,14710,14671,14389,14296,14058,13618,13564,13452,13431,13099,12240,12177,12134,12082,11748,11510,11457,11034,10609,10440,10183,10164,10008,7550,3971,1369,0,0,0,0,0,0,0
7:14045,13519,13418,12719,12655,12242,12086,11983,11920,11829,11615,11450,11366,11141,11041,10996,10898,10553,10455,10391,10171,10150,10136,10086,10074,10052,10018,10004,9820,9776,9767,9740,9626,9175,9139,8949,8944,8874,8673,8614,8436,7007,6762,6659,6582,0,0,0,0,0
8:23349,22877,22604,21747,21517,21369,20406,20251,20098,19579,19470,18800,18163,17791,17468,17169,17003,16748,16392,16178,15395,15379,15301,14896,14804,14061,13308,12998,12949,12919,12865,12791,12682,12104,12074,11994,11882,11495,11259,11006,10691,9939,9720,9688,9530,9359,0,0,0,0
9:19808,18722,17985,17329,17265,17101,17091,15725,15613,15358,15179,15141,15115,14669,14663,14645,14595,14507,14251,14126,14117,14017,13961,13787,13683,13222,13172,13145,13081,12949,12738,12521,12411,12334,12179,11989,11845,11785,11398,11342,11092,11064,10105,9850,9173,0,0,0,0,0
10:15403,14446,14324,13893,13835,13671,13628,13576,13347,13066,13033,12958,12844,12656,12612,12579,12433,12363,12235,12063,11971,11916,11884,11718,11716,11660,11524,11521,11451,11443,11433,11403,11203,11188,11082,10964,10842,10531,10323,10302,10225,9968,9396,9276,8821,7154,0,0,0,0
11:16506,15971,15825,15799,14929,14785,14516,14300,14264,14178,14005,13963,13947,13925,13757,13756,13724,13700,13647,13583,13563,13525,13447,13331,13312,13275,13237,13224,13190,13089,13086,13076,13037,12998,12972,12948,12925,12878,12830,12754,12268,12148,12005,11301,11198,10649,9860,6035,0,0
12:18912,18390,18377,17878,17517,16623,16004,16002,15858,15786,15741,15697,15682,15426,15392,15293,15260,15142,15023,15009,14951,14797,14795,14734,14651,14558,14556,14375,14224,14117,14049,13993,13945,13891,13807,13627,13486,13354,13109,13086,13012,12907,12839,12650,12253,12076,11150,155,0,0
13:18883,18160,18066,17966,17477,17474,17417,17046,16911,16840,16562,16456,16219,16209,16170,16011,15921,15800,15779,15164,15062,14887,14865,14860,14768,14454,14395,14302,14088,14080,14045,13957,13908,13904,13804,13744,13669,13569,13521,13357,13277,12757,12716,12698,11456,11396,11190,8212,0,0
14:18425,18161,18055,17666,17599,17435,17388,17346,17297,17290,17000,16941,16824,16280,16043,15923,15819,15760,15473,15451,15189,14775,14551,14482,14382,14368,14181,14053,13995,13742,13603,13510,13434,13189,13157,13056,12526,12325,12323,12297,12110,12107,12035,11988,11979,11828,11705,10610,0,0
15:20563,20229,19110,18883,18867,18665,18285,18186,17978,17950,17899,17855,17854,17770,17684,17678,17655,17560,17388,17375,17330,17214,17094,17046,17041,17022,16937,16900,16792,16731,16493,16374,16190,16120,16050,15849,15822,15177,15128,15075,14742,14181,13573,13473,13412,12879,3274,114,0,0
16:18654,18482,17362,17057,16877,16412,16374,16333,16275,15915,15891,15805,15720,15711,15696,15674,15664,15658,15656,15615,15543,15486,15262,15237,15184,14716,14676,14626,14594,14445,14339,14252,14247,14061,13966,13858,13709,13652,13619,13542,13375,13015,12871,12715,12660,12394,10919,6496,648,121
17:20001,17361,17349,17318,17301,17045,16551,15810,15805,15802,15636,15557,15551,15520,15491,15123,15111,14978,14667,14497,14414,14226,14114,14058,14016,14000,13960,13904,13872,13782,13615,13474,13446,13397,13143,12756,12574,12354,12289,11985,11679,11451,11280,10816,10068,9633,9581,1299,164,0
18:20109,19843,19482,19021,18908,18888,18624,18613,18402,17864,17638,17468,17415,17386,17294,17141,17005,16716,16183,16090,16060,15882,15771,15770,15675,15492,15465,15107,14924,14816,14745,14696,14673,14550,14379,14029,13392,13308,13175,13065,12926,12738,12709,12705,12581,11860,575,95,0,0
19:23902,22326,21983,21631,21497,21384,21342,21314,21203,21184,20997,20884,20552,20208,20188,19884,19685,19669,19661,19621,19320,19234,18925,18672,18481,18415,18281,18236,17949,17940,17936,17926,17758,17729,17459,17382,17293,17236,17147,17084,16938,16235,15992,15656,15282,2583,856,598,0,0
20:23669,23127,23036,22883,22653,22342,22264,21994,21893,21855,21668,21486,21455,21319,21064,20993,20902,20898,20879,20736,20569,20130,20082,20029,19960,19907,19875,19871,19854,19818,19577,19518,19502,19356,19001,18973,18918,18879,18322,18270,17966,17906,17833,17825,17662,17373,17351,2518,1478,0
21:25000,24976,24945,24572,24536,24086,23933,23714,23684,23587,23510,23487,23470,23366,23045,22979,22799,22792,22785,22767,22679,22631,22608,22446,21951,21748,21546,21100,21020,20904,20731,20622,20614,20483,20451,20208,20117,19968,19844,19425,19318,19202,19171,19057,19018,18939,1497,1468,1335,0
22:23144,22435,21900,21389,20720,20568,20543,20218,19515,19478,19447,19312,19256,19201,19029,18942,18870,18835,18806,18768,18693,18382,18162,17836,17825,17649,17431,16574,16569,16553,16113,16101,16022,16013,15980,15953,15662,15475,15366,15291,14917,13844,12303,8459,1307,944,593,393,0,0
23:19655,18869,18122,18008,18007,17705,17579,17332,17023,17009,17009,16773,16706,16653,16558,16525,16428,16355,16349,16346,16201,15820,15769,15095,15054,14890,14676,14552,14090,14013,13331,13117,13074,12814,12698,12695,12659,12607,12525,12281,12136,12132,11701,11451,11056,9326,6140,631,342,189
24:17382,17115,16856,16537,16476,16436,16325,16175,16028,15803,15691,15654,15599,15567,15485,15462,15446,15280,15186,14924,14806,14789,14743,14644,14580,14535,14535,14475,14416,14398,14319,14315,14261,14229,13983,13727,13684,13644,13364,13212,13125,12852,12756,12198,12123,11763,7579,381,316,106
