1:43013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:40906,41196,41523,41584,41655,42109,42166,42558,42751,43703,43893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63290,0
3:38683,41260,41500,41702,41799,41854,41858,41949,41982,42026,42101,42199,42227,42236,42262,42403,42427,42476,42504,42546,42551,42565,42644,42711,42860,42932,43209,43265,43564,0,76903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65737,0
4:38861,38891,38907,38926,38944,38946,38979,38994,39001,39017,39030,39032,39047,39091,42334,42422,42615,42615,42629,42633,42640,42747,43233,43259,43300,43408,43709,43825,43829,43834,44569,44583,45109,45220,46348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:38367,38666,38696,38705,38776,38811,38815,38815,38817,38839,38854,38856,38869,38894,38897,38904,38927,38939,38946,38959,38989,39008,41680,41718,41727,41757,41935,42002,42059,42134,42254,42754,42975,43195,43304,43567,76904,0,0,0,0,0,0,0,0,0,0,0,0,0
6:38634,38677,38738,38748,38793,38802,38813,38815,38840,38841,38848,38851,38857,38866,38869,38881,38886,38890,38895,38898,38900,38908,38909,38915,38918,38931,38937,38938,38952,38973,38988,39012,41467,41825,41908,42287,42433,42442,42499,42761,42768,42815,76906,0,0,0,0,0,0,0
7:37278,37857,38054,38054,38076,38309,38537,38781,38788,38823,38831,38835,38837,38854,38866,38868,38874,38889,38895,38903,38915,38918,38933,38934,38961,38964,38969,38972,38977,38991,38999,39008,39014,39023,39046,41786,41904,41948,42126,42493,43301,0,0,76903,0,0,0,0,0,0
8:37417,37634,37786,37800,37854,37895,37917,37963,38017,38041,38049,38070,38075,38100,38237,38252,38335,38407,38515,38519,38609,38676,38722,38730,38738,38788,38824,38867,38884,38906,38909,38917,38918,38922,38936,38937,38938,38954,38968,38997,41905,42059,42181,43549,0,0,0,0,0,0
9:37374,37593,37604,37666,37945,38100,38133,38145,38155,38171,38180,38230,38239,38258,38340,38412,38426,38451,38452,38536,38540,38577,38594,38596,38602,38650,38663,38693,38762,38777,38789,38869,38891,38939,38944,38947,38949,38973,38979,41440,41766,42067,0,0,0,0,0,0,0,0
10:36490,36992,37476,37747,37791,37794,37923,37943,37945,37969,37973,38029,38041,38095,38105,38109,38152,38169,38219,38270,38271,38289,38306,38317,38356,38372,38391,38435,38487,38500,38504,38505,38557,38565,38820,38853,38862,38886,38896,38928,38957,41267,42464,0,0,0,0,0,0,0
11:37262,37328,37395,37483,37588,37756,37805,37869,37876,37988,37992,38061,38104,38217,38237,38273,38295,38306,38312,38381,38405,38412,38503,38519,38527,38574,38675,38682,38696,38713,38728,38769,38773,38793,38867,38903,38914,38921,39009,39036,39057,42057,0,0,0,0,0,0,0,0
12:35134,37762,37875,37914,38057,38285,38338,38352,38361,38367,38388,38389,38399,38440,38449,38454,38491,38496,38501,38515,38553,38572,38587,38590,38591,38607,38610,38611,38613,38622,38634,38638,38639,38697,38726,38738,38769,38820,38846,38927,38928,38949,38972,44064,0,0,0,0,0,0
13:33896,34886,34943,35036,35312,35485,35590,35663,35686,35701,35846,35853,35960,35966,35993,36043,36079,36113,36118,36181,36352,37847,37898,38034,38163,38168,38215,38375,38379,38415,38435,38507,38523,38539,38630,38755,38787,38907,38923,38970,39012,0,0,0,-1,0,0,0,0,0
14:26942,34110,35098,35200,35283,35296,35319,35395,35405,35462,35628,35691,35744,35853,35890,35927,35928,35972,36019,36087,36198,36242,36352,36360,36457,36521,36540,36559,36641,36643,36668,36751,36854,36929,37276,38226,38349,38447,38671,38749,38956,38982,0,0,0,-1,0,0,0,0
15:29364,28751,28120,28119,27964,27670,27273,27206,27196,26956,26778,26667,33414,26578,26177,26073,25838,25661,34396,34566,35043,35089,35119,35372,35561,35599,35663,24295,24170,23993,36032,36105,36144,23673,23414,23334,36790,22764,21900,21831,21458,38570,38606,38703,21122,40137,0,0,0,0
16:29037,31285,31693,31720,28036,27903,27147,27031,33168,33189,26663,33464,26256,26107,26052,26039,25599,34683,34756,25177,25074,24660,35423,35496,24444,24271,24228,24138,24138,23848,23709,23505,23334,36691,23234,22636,22395,22334,22309,21864,38352,20977,39363,19959,0,0,0,0,0,0
17:30127,29595,30561,30642,30644,29210,30941,29014,31467,28473,28432,31576,31651,28331,31774,31781,31783,28215,27955,32092,27748,27611,27521,27491,27458,32566,32843,33120,26571,26517,26286,25783,34481,25394,25374,24487,24130,36601,23024,38757,39415,0,0,0,0,0,0,0,0,0
18:29527,30497,30695,29145,28837,28715,28510,32009,27936,27890,27849,32345,27485,27445,27431,27201,27071,26653,26646,26611,26511,26346,26248,26123,25838,34167,25763,25702,25698,25092,24988,24929,24698,24623,36049,23352,23305,22571,22434,21773,38545,15749,0,0,0,0,0,0,0,0
19:29884,29531,30539,29403,29384,30705,29212,30841,30854,30866,29113,30931,28563,31462,28344,28253,31781,28093,32177,32180,32187,27802,32233,32289,32347,27527,27502,27487,27308,27261,33184,26706,26011,25853,35658,24018,23980,23763,23013,37080,37212,22745,22281,22181,21616,38603,-1,0,0,0
20:30229,30297,29406,29112,29082,28996,31150,28830,28603,31422,28355,28168,28161,31997,27910,32231,27742,32372,27489,27178,27111,26751,26595,33467,26511,26373,26371,26141,26092,25907,34367,25315,25202,24789,24729,24495,24301,24155,23777,23588,23152,23097,23085,22758,21007,39003,20585,0,-1,0
21:29736,30322,30777,29182,28671,28658,28482,28353,28187,28164,28125,27813,32490,32543,27403,27306,27209,27183,33091,26691,26611,26565,26530,26304,26188,25513,25421,25245,25242,25192,25121,24886,24883,24632,24523,35888,23757,23713,23373,22736,22516,22284,22129,21294,20742,16991,9139,6120,-1,0
22:29536,30743,30874,30883,29113,30910,31070,28919,28860,28845,28760,31413,28398,28386,28365,28305,28175,28110,28002,32011,27811,27668,27645,27508,27398,27200,27146,27061,33206,33521,26446,26407,26400,33928,25657,34480,34786,25030,35218,35561,24356,36601,23204,22877,37592,20112,19401,0,0,0
23:29804,30872,30879,29027,31053,28856,31238,31245,31507,28408,31702,28297,31709,28247,31786,28159,28003,32273,32298,27687,32462,27493,32687,27255,32993,26990,33079,33318,33504,33521,33720,33938,33968,25914,25851,34363,34392,35116,35238,35331,35511,35516,36779,36882,37081,37140,37343,37680,0,0
24:30494,30515,29190,30814,30881,31198,31273,28680,31662,28013,32000,32064,32148,32187,27748,32442,32443,32627,32659,32661,32699,32845,27109,32905,33146,33156,33286,26637,33538,33564,33662,33863,33876,33896,33949,34032,34460,34510,34723,34764,34963,35215,35283,35439,35979,36691,36787,-1,0,0
25:30462,30504,30773,31015,31140,31225,31500,31520,31780,31799,31914,32248,32345,32441,32721,32837,32846,32881,27011,33107,33312,33382,33412,33517,33571,33575,33956,34062,34088,34167,34266,34665,34911,34941,35042,35192,35220,35269,35727,35819,35912,36383,37153,37292,0,0,0,0,0,0
26:29275,29089,30977,31004,31297,31349,31361,31387,28576,31500,31784,31874,32048,32220,32272,32303,32479,32582,27261,32784,32811,33008,33112,33113,33247,26683,33475,33894,33988,34391,34435,34932,35002,35070,35091,35451,35628,35693,35786,35939,36415,39005,43501,0,0,0,0,0,0,0
27:30365,29432,29335,30860,29061,30992,31259,28673,28606,31400,31423,31703,31981,32411,32418,32454,32534,32793,32884,32913,32983,26988,33018,33056,33169,33263,33286,33364,33744,33842,33912,34032,25858,34149,34290,34357,34547,34640,34786,35144,36300,37533,44135,0,0,0,0,0,0,0
28:30254,30343,29523,29391,29379,30638,30670,29082,30936,31043,31107,28776,28760,31282,28702,28660,31536,28359,28242,28224,32050,32079,27818,32393,32461,32467,32534,27451,27436,32580,27358,32679,27236,32770,33120,33301,26501,26190,25942,25938,34150,24842,36209,38909,0,0,0,0,0,0
29:29813,29619,29554,29500,30523,29419,29380,29334,29321,29313,29237,29220,29139,30875,28899,28883,28809,31289,31305,31311,28541,31500,31522,28475,31573,27805,27773,32256,27645,32624,27338,32724,27271,32850,33063,33127,26625,33419,33540,26250,33878,34377,25175,37623,0,-1,0,0,0,0
30:30307,29507,29409,30658,30787,30792,30845,30851,30908,30912,31142,31289,31487,31498,31581,31594,28272,31743,31778,31844,31847,31967,31996,27943,32065,32320,32340,32456,32804,32907,33007,33060,33094,33132,33167,33556,33847,34338,34549,34604,35713,35816,36511,37416,9620,0,-1,0,0,0
31:30583,30597,31569,31816,31966,32027,32113,32273,32322,32347,32375,32483,32507,32705,32747,32778,32894,32966,33067,33150,33236,33370,33434,33589,33597,33736,34075,34199,34306,34404,34528,34618,34720,34818,35631,35683,35716,35888,35946,36380,36835,36903,37949,14611,0,0,0,-1,0,0
32:30369,29614,29568,30520,30974,31128,31392,31667,31738,31896,31945,31949,32029,32052,27835,32306,32560,32628,32804,32823,32867,32904,32956,32969,32980,33082,33278,33305,33357,33469,33597,33814,33844,33889,34380,34413,34605,34821,34833,34875,25061,35000,35043,35060,35911,13632,0,0,0,0
33:30175,30262,29577,29573,29403,29340,30746,30910,30922,30952,28483,31530,31566,31570,28397,31790,31794,31859,31904,31936,32068,27869,32286,27423,32689,32731,32878,27044,32977,33061,33084,33194,26613,26601,33552,33811,33921,34145,25793,34351,34429,35783,35792,0,0,0,0,0,0,0
