1:39511,43992,76903,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:5418,39515,39912,40037,40221,40245,40450,40511,49840,50294,50599,76892,76897,76901,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:5224,5949,6415,16801,39808,40147,40474,40517,40539,40609,40746,40883,40912,40913,41015,41021,41166,41229,41974,41990,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:5394,6291,6658,7408,7463,7907,7962,9238,9960,14623,15024,15309,16557,16703,20923,40055,40650,40901,41220,41309,46751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:847,6129,6481,6540,6678,6885,6932,7275,7314,7498,7681,7716,7740,7920,8179,8292,8467,8671,9995,10127,17208,19066,38818,46061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:1046,1077,1084,907,864,6559,7206,7472,7475,7531,7560,7931,8060,8139,8256,8400,8495,9059,9085,9199,9352,9355,9507,10480,11817,11872,12185,12827,19002,38815,39545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:897,1129,835,1178,1190,800,1205,1234,1245,1261,712,1302,675,666,661,660,1405,1405,1474,1627,1721,1938,2191,7357,7482,8123,8177,8508,9122,9692,10547,19233,38563,38856,39284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8:1061,1106,1118,836,1288,1347,1356,1371,1428,1441,1455,1464,1494,1505,1512,1578,1604,1606,1611,1617,1652,1682,1775,1804,1817,1824,1854,1930,1935,1956,2046,2081,2288,2316,2450,8875,9165,10064,10640,12548,12907,0,0,0,0,0,0,0,0,0
9:945,1059,920,1110,1122,1126,1128,871,1138,1141,1163,1169,824,1182,1186,1211,1212,1228,1243,735,1276,1280,1291,1293,1318,1322,1347,1383,1386,1388,1401,1430,1432,1438,1458,1468,1592,1720,1732,1779,2007,4579,38710,0,0,0,0,0,0,0
10:1049,951,917,1085,899,1112,1125,1128,1129,857,854,853,1147,1172,807,1199,1205,1210,783,1222,758,1245,1256,739,730,717,1314,1316,1319,1322,1369,1410,585,1482,1483,1491,1523,1542,1600,1684,1780,1912,5917,38674,0,0,0,0,0,0
11:967,1048,1061,1065,1089,1103,1119,1122,1123,875,872,1128,1129,846,846,1155,1156,1163,1190,1195,1229,1245,1245,745,1257,1259,1274,725,1309,1311,679,1329,666,1342,1361,1375,1430,1540,1568,1578,1612,1873,1925,1957,2137,2445,9362,38715,0,0
12:985,1055,1061,933,933,920,1088,901,870,843,1158,1166,774,762,1240,729,1272,727,1276,1313,1322,663,1390,601,1410,1410,1417,555,1445,1491,1495,488,1539,1544,1623,1641,1677,1684,1733,1833,1885,2024,2110,2640,38693,38763,0,0,0,0
13:1020,1029,1086,909,1091,1110,1119,1122,1175,1177,822,1180,1185,1221,747,1261,1279,1310,1324,1344,1418,1429,1436,1444,1446,1482,1501,1523,1558,1586,1589,1608,1649,1654,1660,1706,1738,1777,1807,1840,1955,2359,3387,38679,0,0,0,0,0,0
14:975,1034,1040,1040,1048,1062,1066,922,1079,1092,1092,1098,890,882,1129,1130,1139,1171,1190,1195,1208,789,775,754,754,1261,1278,1314,671,660,1341,657,622,586,586,1444,1447,1462,1487,487,422,1666,1866,2083,2584,0,0,0,0,0
15:1073,1110,1115,868,853,1163,1171,797,782,1262,1299,700,1320,1321,1353,634,1408,1439,1484,1485,1488,1508,1527,1530,1568,1578,1584,1597,1599,1667,1783,1804,1839,1877,1894,1920,1926,1938,2069,2246,3104,3515,3845,38568,38860,0,0,0,0,0
16:1019,974,1041,1043,1049,1067,931,1079,896,895,875,1129,1131,857,856,834,817,1190,808,803,770,1232,767,760,1252,1270,721,690,686,670,1333,665,664,643,1427,1464,529,1472,1473,1485,1559,1841,1925,2030,2562,2999,38662,0,0,0
17:1017,970,935,923,1080,898,1104,1111,1120,1141,857,1166,1186,785,1219,1226,771,1245,1248,748,726,1292,707,1321,1335,1354,1372,1386,597,1411,587,1429,1447,1462,1471,1480,506,505,1507,1518,1594,1599,1659,1767,1887,2046,2199,9257,11537,38772
18:973,1027,1030,970,1055,943,1059,1078,1079,1084,1090,910,1111,1117,872,866,1138,846,845,844,1178,810,790,789,1220,770,1235,1241,748,1257,706,1331,647,1356,1362,1373,1386,1391,1405,1436,1454,1535,1708,1930,1980,2066,2868,0,0,0
19:1009,948,939,1114,884,1121,1130,1131,862,1143,848,1166,1167,1185,1188,1210,1212,781,780,1258,1261,1269,722,1285,697,1307,1311,1314,1331,1382,1397,1405,589,570,563,1449,1460,1465,1483,1630,1722,1749,1828,2053,2149,2201,6878,0,0,0
20:940,935,1066,905,1100,899,1148,1155,844,841,834,834,809,1196,1199,1201,1220,1221,772,1244,1249,1254,734,1273,1319,1330,1367,604,1414,1425,1441,1504,1515,1548,1554,1557,1642,1646,1696,1697,1910,2201,2236,2369,2653,9384,34313,38767,0,0
21:982,981,966,1046,942,940,939,930,1070,921,1097,1110,1112,1120,875,1127,872,1152,1167,1168,816,797,796,1209,1218,1258,1264,1320,1323,1329,1335,1338,1374,1384,1443,1455,1471,1477,1592,1619,1639,1646,1769,1789,2090,2157,8365,38830,0,0
22:1044,949,1072,1101,1113,874,1140,1150,1161,826,1179,1190,1192,1210,1215,783,1225,1229,770,1233,1237,1241,758,1253,729,1283,1287,1292,701,1312,1331,1352,626,1379,1398,1406,593,1420,502,1509,1586,1627,1638,1898,1983,2498,3042,38730,0,0
23:1061,909,1098,902,1163,1175,802,788,787,1221,1234,1252,1264,1297,1318,1320,643,1367,1368,1383,1389,1390,1395,1396,1398,1411,1440,1502,1510,1535,1544,1572,1574,1601,1604,1607,1639,1688,1705,1771,1918,1962,2226,2371,9832,0,0,0,0,0
24:973,1051,940,930,1075,1080,911,909,905,1104,1117,1145,806,1198,1213,1215,776,1228,1237,1239,760,1285,1286,703,1371,1385,1392,1393,1422,1423,1446,1460,1487,1503,1526,1533,1545,1585,1586,1781,1785,1816,2021,2134,7359,0,0,0,0,0
25:1036,1041,1045,1074,1078,917,1106,1108,873,1146,848,1159,835,1165,1185,1188,803,797,793,784,780,1220,1283,1295,1301,684,1325,1326,1359,641,1360,625,618,1397,1400,1417,1439,1500,1569,1685,1720,1803,2026,3067,32915,0,0,0,0,0
26:954,1048,903,1144,1170,803,790,787,1218,1220,1224,1227,771,1236,1245,1245,1310,1313,1316,1322,1335,1337,1340,1367,1382,1383,1435,1450,1451,1515,1516,1525,1555,1562,1598,1630,1650,1806,1833,1895,1978,1999,2046,2065,3954,34716,0,0,0,0
27:1070,1079,1080,1125,874,869,1149,1159,835,811,1189,1236,1268,1270,712,1288,1293,1293,1329,1337,1359,1367,1368,1402,1417,1422,1434,1438,1477,1481,1492,1494,1523,1553,1563,1566,1589,1603,1681,1689,1727,1967,2000,2177,2269,2624,3895,0,0,0
28:1088,1091,908,1179,1221,769,1243,1257,1268,1269,1274,1300,1308,1315,679,1322,1324,1327,1336,1372,1379,1406,1418,1419,1420,1450,1454,1510,1527,1528,1569,1577,1596,1597,1654,1655,1691,1701,1788,1803,1826,1853,1860,1870,2119,2962,4091,34772,0,0
29:964,1066,924,901,895,1110,890,1137,1142,836,835,825,821,1187,1201,1201,1202,792,1213,1217,1222,1224,1228,1229,1259,1277,1283,1291,1298,1323,1327,1356,1357,1361,1377,1419,1425,1426,1458,1459,1471,1481,1512,1547,1569,1574,1754,1772,0,0
30:949,904,1096,1098,1100,1110,854,848,1181,1210,1217,1227,1230,1244,1248,748,1257,1272,1277,1287,1313,1346,1358,1370,1378,1442,1449,1455,1502,1506,1531,1544,1567,1570,1598,1602,1650,1674,1697,1738,1757,1761,1771,1819,1865,1989,2022,38710,0,0
