1:46046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:39448,42644,42645,42725,42740,42871,42911,42930,43056,43079,43086,43305,43379,43551,43596,43699,43729,43753,43820,44008,45034,46229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:39410,39458,15,42534,42708,42730,42848,42869,42896,42921,43239,43264,43283,43351,43367,43437,43460,43482,43494,43545,43580,43640,43689,43804,43925,44016,44250,44325,44466,44921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:39379,39431,39433,39451,39484,39484,28,39978,11,43176,43404,43406,43504,43548,43588,43667,43707,43788,43794,43819,43872,43932,43998,44036,44086,44453,44502,44719,44722,45373,48024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:39386,39393,39410,39433,39438,39440,39455,39456,39477,39485,39492,39495,39505,39523,39524,39535,39546,39658,39726,39785,39893,18,12,40008,40015,40046,43048,43382,43398,43821,43823,44353,44788,45034,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:39360,39393,39401,39413,39418,39427,39429,39439,39441,39458,39464,39471,39481,39492,39513,39515,39551,39562,39566,39611,39673,39700,39704,39750,39804,39811,39816,39828,39875,39920,39963,4,40131,40189,43939,44086,44421,-1,0,0,0,0,0,0,0,0,0,0,0,0
7:39319,39341,39364,39372,39391,39392,39393,39397,39406,39408,39414,39425,39426,39429,39431,39451,39456,39460,39473,39476,39483,39485,39491,39498,39502,39503,39510,39528,39626,39626,39630,39634,39682,39700,39714,39722,39723,39807,39815,39883,40039,0,0,0,0,0,0,0,0,0
8:39352,39357,39372,39373,39378,39380,39382,39385,39386,39390,39399,39401,39407,39409,39415,39417,39418,39438,39440,39444,39445,39460,39462,39463,39469,39473,39474,39483,39511,39511,39624,39642,39677,39826,39834,39904,40011,40015,0,0,0,0,0,0,0,0,0,0,0,0
9:39381,39393,39404,39408,39411,39416,39416,39417,39423,39423,39425,39425,39435,39447,39449,39453,39455,39464,39474,39481,39482,39492,39492,39497,39508,39510,39517,39539,39569,39637,39700,39710,39731,39732,39759,39776,39797,39800,39807,39852,39885,40105,43143,0,0,0,0,0,0,0
10:39312,39318,39328,39335,39344,39345,39370,39376,39380,39387,39388,39394,39394,39413,39421,39423,39429,39429,39431,39433,39452,39457,39462,39468,39471,39472,39484,39498,39504,39520,39529,39532,39548,39646,39742,39762,39766,39808,39822,39876,39885,2,40007,40168,43015,43844,0,0,0,0
11:39395,39396,39403,39411,39415,39417,39438,39445,39449,39458,39458,39458,39465,39467,39469,39484,39490,39491,39491,39504,39507,39532,39544,39547,39557,39558,39655,39682,39719,39733,39735,39744,39759,39760,39885,39956,1,40000,40022,0,0,0,0,0,0,0,0,0,0,0
12:39403,39412,39413,39415,39427,39428,39438,39450,39460,39471,39497,39499,39507,39511,39511,39515,39516,39523,39529,39537,39542,39547,39551,39553,39560,39561,39572,39608,39633,39636,39637,39653,39884,39962,40113,44527,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
13:39324,39349,39356,39362,39362,39367,39379,39386,39388,39389,39397,39397,39403,39410,39410,39414,39419,39422,39428,39431,39433,39438,39458,39463,39464,39466,39470,39470,39486,39488,39489,39598,39681,39785,39809,39811,39876,1,42942,0,0,0,0,0,0,0,0,0,0,0
14:39416,39417,39428,39431,39431,39438,39440,39448,39450,39453,39472,39473,39485,39485,39500,39503,39504,39504,39506,39513,39517,39518,39534,39542,39557,39597,39758,39811,39816,39850,39920,39996,43171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:39350,39357,39359,39369,39372,39377,39388,39390,39391,39402,39405,39409,39411,39414,39415,39418,39419,39436,39443,39448,39450,39450,39454,39455,39463,39473,39481,39482,39483,39492,39493,39494,39507,39519,39524,39697,39713,39759,39803,39929,39990,40034,40035,40038,42293,0,0,0,0,0
16:39367,39382,39382,39391,39393,39408,39409,39412,39413,39414,39418,39421,39424,39426,39427,39427,39428,39432,39436,39438,39438,39445,39454,39460,39461,39462,39466,39467,39472,39472,39473,39477,39492,39493,39500,39515,39525,39534,39534,39538,39543,39569,39611,39639,39796,39799,39959,41568,41877,0
17:39330,39360,39384,39392,39397,39398,39406,39414,39419,39424,39425,39425,39432,39433,39436,39438,39446,39455,39461,39461,39466,39468,39468,39476,39483,39490,39492,39492,39500,39501,39502,39525,39530,39534,39563,39572,39699,39730,39813,39876,39952,39952,39968,39996,3,40004,40067,40075,43817,0
18:39310,39330,39349,39369,39370,39372,39378,39379,39382,39397,39404,39409,39410,39413,39425,39435,39437,39451,39454,39469,39474,39474,39491,39506,39507,39508,39618,39618,39622,39624,39668,39732,39821,39849,39880,39901,39907,39908,39910,39923,39986,3,40051,40100,43556,0,0,0,0,0
