1:38735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:38871,38861,38846,38845,38843,38832,38831,38828,38822,38820,38809,38782,38725,38710,38675,76939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:38922,38910,38906,38900,38893,38891,38880,38878,38872,38870,38867,38865,38860,38854,38851,38846,38842,38841,38838,38834,38820,38817,38806,38798,38796,38725,38612,37053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:39012,38943,38938,38936,38924,38917,38915,38914,38912,38911,38901,38900,38900,38892,38886,38885,38881,38879,38876,38874,38872,38868,38864,38846,38835,38823,38817,38816,38792,38791,38776,38767,38716,38494,37764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:39011,39005,39001,38999,38996,38991,38986,38919,38906,38891,38890,38888,38881,38874,38863,38862,38857,38856,38855,38854,38850,38849,38843,38833,38820,38814,38809,38808,38806,38794,38787,38787,38785,38783,38779,38774,38699,38634,37279,0,0,0,0,0,0,0,0,0,0,0
6:39019,39019,39014,39014,39013,39013,39012,39012,39011,39011,39010,39009,39008,39008,39007,39007,39007,39005,39005,39005,39002,39001,38999,38998,38997,38997,38994,38991,38988,38986,38986,38986,38984,38981,38970,38965,38944,38872,38851,38832,38796,38719,38690,0,0,0,0,0,0,0
7:39019,39016,39016,39016,39015,39015,39015,39014,39014,39014,39013,39012,39011,39008,39008,39006,39006,39004,39004,39003,39003,39003,39002,39002,39001,39000,39000,38999,38997,38997,38996,38995,38994,38992,38992,38992,38991,38990,38989,38989,38983,38982,38969,38959,38800,38626,38588,0,0,0
8:39026,39020,39020,39018,39018,39017,39017,39017,39016,39016,39015,39015,39015,39015,39015,39013,39012,39012,39012,39012,39011,39010,39010,39009,39008,39007,39007,39007,39007,39004,39002,39000,38997,38995,38995,38992,38989,38986,38984,38984,38982,38888,38845,38765,38371,0,0,0,0,0
9:39020,39017,39014,39014,39013,39012,39010,39010,39009,39007,39006,39003,39003,39002,39002,39002,39001,39001,39000,38999,38999,38998,38998,38998,38998,38998,38998,38996,38996,38996,38996,38994,38994,38993,38993,38992,38990,38989,38988,38988,38985,38983,38982,38978,38814,38800,38586,0,0,0
10:39020,39020,39016,39015,39014,39014,39012,39012,39012,39012,39012,39011,39010,39007,39007,39006,39005,39004,39003,39003,39001,39000,39000,38998,38998,38998,38998,38996,38996,38995,38994,38994,38993,38993,38993,38993,38991,38990,38987,38978,38976,38843,38830,38813,0,0,0,0,0,0
11:39021,39016,39014,39014,39013,39012,39011,39011,39010,39010,39009,39009,39009,39008,39008,39007,39007,39005,39003,39003,39003,39002,39001,39001,39001,39000,38999,38999,38998,38997,38997,38996,38995,38994,38992,38992,38987,38986,38985,38985,38979,38979,38976,38971,38795,38726,76910,0,0,0
12:39024,39019,39018,39017,39016,39016,39016,39016,39015,39014,39014,39014,39012,39011,39011,39009,39009,39009,39009,39008,39008,39007,39006,39005,39005,39004,39003,39002,39001,39000,38999,38996,38996,38996,38995,38995,38995,38990,38989,38989,38986,38984,38981,38975,38975,38806,38795,38573,76923,0
13:39033,39029,39023,39023,39021,39020,39020,39020,39018,39017,39017,39017,39016,39015,39015,39015,39015,39015,39014,39012,39012,39011,39011,39011,39010,39008,39008,39004,39003,39000,38999,38998,38998,38996,38993,38993,38993,38992,38989,38987,38978,38978,38963,38857,38771,38624,76917,0,0,0
14:39025,39024,39023,39022,39021,39021,39020,39019,39017,39017,39016,39016,39016,39015,39015,39015,39014,39014,39013,39013,39012,39012,39012,39011,39011,39010,39010,39010,39009,39007,39007,39007,39006,39006,39005,39001,39001,38999,38998,38996,38995,38994,38993,38984,38953,38775,76912,0,0,0
15:39028,39026,39026,39026,39026,39026,39024,39023,39023,39022,39022,39021,39020,39019,39019,39019,39018,39018,39018,39017,39017,39017,39017,39017,39014,39013,39013,39013,39012,39012,39010,39010,39009,39009,39008,39007,39007,39003,39003,38999,38999,38997,38997,38994,38994,38991,38990,38981,38902,0
16:39025,39023,39023,39021,39020,39018,39018,39016,39016,39015,39015,39015,39014,39014,39014,39013,39013,39012,39011,39011,39010,39010,39010,39010,39009,39008,39007,39007,39007,39006,39005,39005,39004,39003,39003,39003,39002,39001,39001,39001,38999,38996,38991,38985,38973,38860,38849,38843,38767,0
17:39024,39023,39022,39021,39020,39019,39019,39019,39019,39018,39018,39017,39016,39015,39015,39015,39014,39012,39012,39011,39011,39010,39010,39010,39010,39008,39008,39008,39007,39005,39005,39004,39004,39003,39003,39003,39001,39001,39001,39001,38998,38998,38986,38890,38857,38820,38795,38749,38740,0
18:39028,39026,39022,39022,39022,39020,39019,39019,39019,39018,39018,39017,39017,39017,39015,39015,39015,39014,39014,39014,39014,39013,39013,39013,39012,39012,39011,39011,39010,39010,39009,39009,39007,39004,39004,39003,39002,39002,39001,39001,39000,38999,38997,38994,38992,38960,38877,38764,38724,38712
19:39027,39022,39021,39021,39021,39021,39021,39020,39020,39019,39018,39018,39016,39016,39015,39015,39015,39014,39014,39014,39013,39013,39012,39012,39011,39010,39010,39010,39009,39007,39006,39005,39004,39004,39002,39002,39000,38999,38997,38996,38995,38993,38993,38992,38984,38977,38975,38841,0,0
20:39022,39021,39019,39019,39018,39017,39017,39017,39017,39016,39016,39015,39014,39013,39013,39013,39011,39011,39011,39010,39010,39010,39009,39008,39008,39006,39006,39005,39005,39004,39003,39003,39001,39000,39000,38999,38999,38998,38998,38991,38989,38988,38988,38987,38983,38976,38974,38787,0,0
21:39028,39024,39019,39018,39018,39017,39016,39015,39015,39014,39014,39013,39013,39012,39010,39010,39009,39009,39009,39008,39008,39008,39007,39007,39007,39006,39005,39005,39003,39003,39002,39001,39001,39000,38999,38999,38999,38999,38999,38997,38997,38993,38993,38988,38985,38974,38973,38925,38686,0
22:39021,39018,39014,39014,39013,39013,39013,39012,39012,39011,39010,39009,39009,39008,39007,39007,39007,39006,39006,39006,39005,39004,39002,39002,39001,38999,38999,38999,38998,38997,38995,38995,38994,38993,38991,38990,38988,38983,38982,38975,38970,38969,38901,38856,38788,38788,38770,38751,0,0
23:39023,39023,39021,39021,39021,39021,39020,39020,39020,39020,39020,39018,39018,39017,39017,39016,39015,39015,39014,39014,39013,39013,39013,39013,39012,39012,39010,39010,39008,39008,39007,39007,39006,39006,39006,39005,39004,39003,39003,39002,39002,39000,38998,38998,38997,38995,38890,38807,0,0
24:39026,39026,39025,39024,39023,39022,39022,39020,39019,39019,39018,39016,39016,39016,39016,39015,39015,39014,39014,39013,39013,39012,39012,39012,39011,39011,39010,39009,39008,39008,39008,39007,39007,39007,39006,39004,39004,39000,38999,38997,38996,38996,38994,38990,38986,38985,38967,38850,38825,38793
25:39030,39030,39025,39025,39023,39023,39022,39022,39022,39021,39021,39021,39020,39020,39020,39019,39018,39018,39018,39017,39017,39017,39016,39015,39014,39013,39012,39012,39010,39009,39008,39008,39007,39007,39006,39006,39005,39004,39004,39003,39001,39001,39000,39000,38993,38992,38988,38988,38867,38841
26:39030,39029,39028,39028,39026,39026,39024,39023,39022,39022,39021,39021,39021,39020,39018,39018,39017,39017,39017,39017,39016,39014,39014,39014,39012,39011,39011,39010,39009,39009,39009,39009,39008,39007,39006,39006,39006,39003,39001,39000,38998,38997,38995,38982,38980,38830,38808,38564,0,0
