1:50306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:50966,51157,51234,51332,51397,51418,46660,45060,37730,13582,8302,6227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:50796,51156,51182,51191,51192,51192,51211,51227,51251,51254,51290,51331,51331,51495,45770,45728,42236,36301,34118,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,-1,0
4:50865,51057,51082,48899,51116,51132,51153,51163,51191,51191,51256,51284,51293,51331,51399,51682,46323,41170,39845,33291,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,2,0,0,-1,0,-1,0,-1,0,0,-1,-1,-1,-1,0,0
5:49697,49084,51186,51192,51198,51217,51226,51232,51238,51249,51290,51316,51323,51332,51411,51583,51799,51978,47652,47220,53055,46201,46002,45685,44946,43997,40853,38809,32775,31487,29466,-1,-1,1,-1,1,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,29
6:50906,51122,48868,51155,51157,51169,51192,51212,51226,51227,51247,51291,51315,51320,51322,51326,51332,51332,51575,48112,47906,52652,46371,46128,45570,45472,45090,45070,44728,44155,43363,42101,40802,31331,26596,1,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,-1,-1
7:50900,51088,51122,51122,51134,51169,51182,51198,51227,51304,51379,51429,51445,51465,51484,51569,51626,51898,47728,52284,46984,43138,42769,41999,26706,12477,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
8:50488,50639,50808,49057,51037,51099,51121,51138,51156,51157,51174,51189,51192,51192,51205,51208,51212,51226,51226,51227,51227,51245,51273,51294,51316,51327,51332,48546,51488,47137,46062,44950,44889,44767,44266,43916,41572,31572,22123,16364,1,4,-1,-1,-1,1,-1,-1,0,0
9:50835,51122,51156,51168,51177,51179,51190,51190,51192,51212,51214,51216,51239,51251,51261,51317,51323,51333,51371,51415,51866,47765,45883,45783,45521,45450,45333,42553,35559,31984,11027,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,0,0
10:51108,51238,51260,51263,51331,51518,28399,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1
