1:39121,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:50987,45068,44737,41642,36940,21,16,14,14,13,11,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:50435,49541,48928,48683,43992,38456,37835,34616,21969,21073,17146,15902,13428,13234,11091,11001,9312,4016,3353,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:51191,50994,50857,50857,50787,50597,50577,50572,50547,50464,49300,48910,48166,45745,43692,42476,41859,41603,41487,39072,32751,26471,21738,21737,21454,18279,7109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:51226,51183,50820,50712,50669,50568,50444,50410,49125,49077,48859,47666,47435,46761,46020,45710,45191,45029,44855,42459,39664,37810,27195,22739,22161,21657,20379,17253,15018,12711,10310,9015,7927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:51107,51086,50909,50785,50683,50632,49959,48178,47890,47700,41946,41523,39742,38681,34733,33400,32439,29675,26586,23603,21601,19258,17003,16778,16276,15986,14409,13977,12702,9848,9301,9054,7328,5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:51037,50984,50851,50591,50542,50402,49758,49569,49106,49078,48876,48369,47718,46610,46058,44786,44035,43683,41860,41562,40893,40596,36772,33891,33841,33720,33511,32295,30241,29897,26562,26227,23767,20830,15617,14063,5186,4171,0,0,0,0,0,0,0,0,0,0,0,0
8:51196,51027,50920,50861,50742,49847,47890,47177,46483,45941,44855,43646,42305,41954,41430,40517,39090,38453,35986,35799,30224,30193,30144,28737,28713,26646,24968,24785,24557,23370,23239,23170,20976,19119,8723,8481,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9:50920,50822,50807,49196,46392,44317,41505,41488,39962,36763,35227,31355,29842,28252,26711,24569,24125,24105,23937,23520,21964,20558,19548,19152,16469,16380,15012,14013,13535,12240,11453,108592,11050,10295,9481,8900,8735,5966,5674,5306,3181,0,0,0,0,0,0,0,0,0
10:46663,42850,42145,41643,40670,38013,33195,30666,28602,26739,25486,23300,22978,21999,21864,20606,20088,19989,19650,19342,19155,18445,18010,17951,17740,17667,13483,13458,12322,12134,11618,11016,9093,8657,8184,8050,7163,6767,6697,6448,2161,986,0,0,0,0,0,0,0,0
11:36723,33776,30158,28452,28359,26462,25956,25804,25525,24893,24891,23054,21740,21337,21214,20904,20576,20091,19823,19312,18785,18143,16667,15199,15174,14594,14363,14124,12901,12658,12652,7689,7187,7105,6344,6038,5713,5406,5102,2501,2392,0,0,0,0,0,0,0,0,0
12:50743,50335,50242,50071,49064,48087,46879,45482,45407,45404,42748,41905,40146,36108,34211,34143,32256,28752,28433,26288,22597,21347,21231,20633,20459,20134,19792,16736,15442,15220,14955,12913,12771,12509,11948,10465,10010,9921,8719,7650,7412,6300,3169,0,0,0,0,0,0,0
