1:0.708,0.684,0.66,0.636,0.618,0.618,0.614,0.608,0.592,0.558,0.542,0.54,0.534,0.528,0.52,0.51,0.506,0.494,0.49,0.486,0.484,0.482,0.458,0.458,0.432,0.43,0.43,0.418,0.412,0.36,0.284,0.248,0.234,0.232,0.232,0.22,0.2,0.2,0.196,0.176,0.164,0.16,0.146,0.132,0.128,0.108,0.096,0.086,0.08,0.078
2:0.672,0.664,0.62,0.6,0.598,0.586,0.584,0.578,0.576,0.566,0.55,0.55,0.544,0.542,0.526,0.522,0.516,0.5,0.5,0.494,0.492,0.488,0.48,0.478,0.468,0.464,0.46,0.444,0.442,0.432,0.432,0.416,0.41,0.404,0.398,0.396,0.396,0.394,0.392,0.388,0.376,0.364,0.328,0.318,0.296,0.29,0.264,0.23,0.116,0.08
3:0.638,0.632,0.612,0.608,0.606,0.598,0.598,0.578,0.572,0.542,0.532,0.516,0.508,0.506,0.504,0.496,0.486,0.482,0.468,0.468,0.466,0.458,0.448,0.438,0.43,0.428,0.424,0.42,0.412,0.404,0.402,0.398,0.394,0.392,0.39,0.374,0.368,0.354,0.324,0.296,0.228,0.18,0.136,0.112,0.108,0.098,0.096,0.088,0.084,0.08
4:0.634,0.632,0.63,0.628,0.622,0.62,0.612,0.606,0.606,0.6,0.592,0.584,0.58,0.58,0.568,0.566,0.56,0.552,0.544,0.542,0.53,0.528,0.524,0.522,0.506,0.504,0.498,0.496,0.492,0.49,0.486,0.482,0.476,0.46,0.454,0.448,0.438,0.432,0.416,0.4,0.396,0.388,0.382,0.37,0.368,0.35,0.268,0.176,0.148,0.132
5:0.634,0.63,0.616,0.616,0.606,0.604,0.604,0.602,0.602,0.592,0.564,0.546,0.516,0.512,0.502,0.484,0.468,0.464,0.456,0.448,0.444,0.444,0.436,0.424,0.422,0.422,0.416,0.408,0.402,0.4,0.396,0.392,0.386,0.38,0.342,0.34,0.324,0.208,0.202,0.154,0.154,0.13,0.116,0.112,0.108,0.096,0.084,0.08,0.076,0.048
6:0.704,0.664,0.614,0.61,0.596,0.594,0.58,0.578,0.57,0.564,0.562,0.554,0.54,0.54,0.536,0.534,0.53,0.526,0.52,0.518,0.516,0.516,0.516,0.5,0.5,0.496,0.492,0.486,0.456,0.44,0.432,0.428,0.414,0.412,0.396,0.392,0.392,0.392,0.384,0.376,0.372,0.372,0.372,0.37,0.348,0.08,0.072,0.068,0.064,0.064
7:0.668,0.658,0.646,0.642,0.628,0.616,0.602,0.6,0.592,0.584,0.582,0.58,0.578,0.566,0.562,0.56,0.554,0.55,0.532,0.53,0.522,0.518,0.496,0.49,0.488,0.484,0.48,0.478,0.476,0.474,0.47,0.466,0.46,0.444,0.442,0.44,0.41,0.4,0.4,0.396,0.392,0.384,0.378,0.316,0.242,0.212,0.176,0.168,0.13,0.084
8:0.676,0.662,0.66,0.648,0.648,0.64,0.634,0.626,0.626,0.62,0.62,0.618,0.618,0.616,0.608,0.608,0.59,0.588,0.588,0.584,0.58,0.58,0.578,0.572,0.558,0.55,0.55,0.548,0.548,0.528,0.526,0.524,0.504,0.504,0.498,0.492,0.486,0.484,0.464,0.45,0.448,0.444,0.44,0.428,0.368,0.128,0.112,0.108,0.104,0.044
9:0.692,0.674,0.664,0.662,0.65,0.65,0.648,0.64,0.62,0.618,0.61,0.6,0.6,0.598,0.592,0.59,0.586,0.584,0.58,0.572,0.57,0.566,0.562,0.558,0.552,0.534,0.534,0.532,0.53,0.528,0.526,0.518,0.518,0.516,0.49,0.488,0.488,0.478,0.478,0.454,0.44,0.434,0.434,0.416,0.404,0.402,0.314,0.172,0.116,0.112
10:0.732,0.682,0.656,0.65,0.646,0.644,0.638,0.636,0.634,0.634,0.634,0.622,0.62,0.62,0.618,0.614,0.612,0.608,0.608,0.606,0.6,0.594,0.584,0.582,0.582,0.582,0.574,0.572,0.572,0.566,0.566,0.56,0.548,0.546,0.54,0.53,0.514,0.488,0.488,0.486,0.48,0.47,0.464,0.432,0.43,0.408,0.356,0.344,0.342,0.284
