1:2.194,1.916,1.736,1.704,1.674,1.674,1.672,1.67,1.636,1.618,1.594,1.592,1.59,1.59,1.57,1.562,1.56,1.546,1.544,1.542,1.532,1.53,1.524,1.524,1.52,1.516,1.516,1.514,1.508,1.506,1.506,1.482,1.448,1.446,1.446,1.444,1.422,1.396,1.394,1.372,0.608,0.56,0.55,0.508,0.452,0.448,0.428,0.428,0.374,0.346
2:2.996,2.642,2.538,2.522,2.394,2.22,2.134,1.982,1.918,1.83,1.822,1.766,1.696,1.692,1.648,1.624,1.62,1.568,1.538,1.536,1.532,1.53,1.524,1.518,1.514,1.51,1.506,1.494,1.492,1.466,1.454,1.452,1.42,1.41,1.402,1.398,1.384,1.322,1.292,0.62,0.52,0.516,0.494,0.472,0.468,0.454,0.448,0.424,0.42,0.404
3:3.312,3.234,3.178,3.154,3.092,3.068,2.974,2.912,2.858,2.798,2.76,2.658,2.634,2.424,2.24,2.12,2.03,2.016,2.006,1.952,1.744,1.7,1.652,1.648,1.618,1.598,1.57,1.522,1.514,1.424,1.27,1.242,0.98,0.922,0.56,0.538,0.446,0.444,0.428,0.4,0.396,0.376,0.36,0.332,0.32,0.312,0.152,0.124,0.112,0.098
4:3.56,3.476,3.426,3.35,3.342,3.31,3.28,3.238,3.222,3.04,3.036,2.944,2.932,2.9,2.798,2.624,2.574,2.57,2.534,2.506,2.422,2.29,2.268,2.244,1.652,1.612,1.566,1.498,1.48,1.456,1.096,1.006,0.956,0.912,0.58,0.514,0.504,0.446,0.416,0.39,0.388,0.384,0.348,0.344,0.336,0.262,0.252,0.184,0.132,0.068
5:3.518,3.516,3.164,3.162,3.032,3.012,2.886,2.842,2.832,2.658,2.61,2.596,2.586,2.526,2.514,2.292,2.286,2.212,2.082,2.048,2.002,1.948,1.892,1.676,1.592,1.566,1.544,1.54,1.492,1.47,1.444,1.336,1.298,1.028,0.992,0.608,0.602,0.542,0.532,0.498,0.488,0.464,0.442,0.436,0.424,0.384,0.328,0.278,0.26,0.226
6:3.396,3.326,3.28,3.238,3.172,3.17,3.152,3.112,3.014,2.992,2.946,2.908,2.868,2.772,2.742,2.734,2.662,2.568,2.446,2.438,2.434,2.326,2.06,1.912,1.69,1.656,1.652,1.632,1.614,1.542,1.366,1.09,1.086,0.938,0.586,0.578,0.57,0.55,0.546,0.544,0.476,0.468,0.464,0.432,0.402,0.4,0.378,0.378,0.2,0.152
7:6.062,3.52,3.32,3.308,3.252,3.248,3.186,3.104,3.096,3.088,3.062,3.054,3.048,2.994,2.966,2.952,2.898,2.74,2.63,2.33,2.31,2.284,2.028,2.022,1.88,1.82,1.68,1.67,1.608,1.528,1.492,1.394,1.354,1.128,1.102,0.99,0.606,0.55,0.544,0.528,0.49,0.44,0.408,0.398,0.378,0.368,0.356,0.348,0.308,0.3
8:7.016,6.33,6.196,6.12,3.28,3.21,3.19,3.174,3.132,3.086,3.022,2.984,2.932,2.918,2.912,2.89,2.864,2.644,2.482,2.402,2.3,2.292,2.222,2.148,1.966,1.922,1.858,1.838,1.824,1.76,1.658,1.644,1.588,1.524,1.492,1.422,1.408,0.608,0.594,0.558,0.534,0.51,0.492,0.444,0.422,0.37,0.364,0.352,0.348,0.344
9:7.3,7.194,6.914,6.6,6.584,6.396,6.33,6.298,6.21,6.124,6.026,5.91,3.362,3.274,3.25,3.236,3.232,3.186,3.168,3.13,3.02,3.002,2.958,2.934,2.818,2.604,2.566,2.46,1.968,1.866,1.828,1.804,1.68,1.636,1.628,1.584,1.468,0.626,0.604,0.526,0.514,0.49,0.466,0.428,0.414,0.406,0.38,0.364,0.36,0.32
10:8.118,7.754,7.44,7.426,7.142,7.14,7.078,7.026,6.962,6.832,6.704,6.652,6.554,6.548,6.448,6.436,6.424,6.408,6.392,6.33,6.316,3.292,3.216,3.068,3.022,2.958,2.918,2.9,2.3,2.16,1.976,1.946,1.89,1.086,0.608,0.546,0.506,0.484,0.46,0.458,0.452,0.444,0.408,0.39,0.378,0.374,0.358,0.336,0.306,0.136
