1:855,856,836,851,854,839,853,849,855,840,838,857,842,843,853,844,852,844,848,855,839,837,839,838,841,849,846,855,836,838,855,845,846,845,848,843,858,837,853,858,855,848,837,855,857,850,858,838,859,858,853,855,853,857,848,856,855,859,842,855,844,839,837,846,852,855,858,842,843,848,839,836,852,837,856,844,857,850,852,855,856,839,856,849,846,837,842,857,844,857,851,835,857,842,842,852,836,839,850,858,846,842,845,848,854,854,852,854,845,839,835,844,857,837,838,846,851,841,845,848,854,846,846,852,856,853,842,851,842,841,860,844,839,854,840,845,847,854,858,839,839,852,853,853,851,858,838,851,855,856,848,858,842,854,845,836,846,851,844,838,853,857,845,837,835,837,836,842,859,840,845,844,847,841,837,843,858,849,846,858,855,844,852,837,851,852,842,847,845,854,849,841,838,855,838,859,858,839,857,846,847,850,843,841,846,837,856,842,858,844,839,854,858,846,848,859,858,856,839,853,836,852,858,857,841,842,840,847,855,854,839,857,849,845,839,849,858,847,853,856,853,838,858,850,838,856,846,836,856,849,845,854,846,855,847,839,843,856,846,839,855,837,845,843,855,843,857,839,841,850,852,855,838,839,857,845,839,848,849,855,840,839,844,857,837,849,845,858,858,852,845,858,845,843,852,845,838,852,857,850,858,857,856,839,844,847,838,843,855,858,859,852,839,852,839,847,841,842,857,840,841,838,847,838,847,839,838,844,852,845,836,845,846,854,858,843,838,840,853,859,840,857,843,850,853,836,840,844,855,854,837,852,842,850,852,837,840,857,838,852,857,836,837,844,843,842,853,852,853,852,848,847,841,854,857,844,855,854,855,853,853,847,840,845,836,849,852,858,836,842,847,853,847,857,858,840,855,837,842,858,841,858,846,859,856,843,840,859,837,844,841,853,853,853,847,854,849,844,845,854,857,843,853,837,855,854,855,854,850,854,836,847,846,856,848,855,852,835,837,858,858,857,844,839,856,856,836,839,837,851,854,844,841,837,853,843,848,852,849,853,843,852,845,842,843,851,859,849,839,840,836,849,839,851,842,852,851,839,845,842,839,836,841,838,845,855,843,858,848,847,849,853,853,840,838,857,852,836,841
2:855,831,845,874,872,823,816,873,830,871,867,851,846,870,872,870,823,871,870,830,872,871,872,857,817,824,870,813,871,849,871,815,871,871,823,872,852,857,874,846,867,819,812,851,850,872,873,837,874,839,818,858,814,834,849,872,873,870,871,863,873,874,856,867,867,860,841,863,871,813,873,871,812,867,868,854,817,831,815,833,859,823,874,871,871,865,844,871,838,871,875,874,844,836,868,814,829,860,873,813,816,850,818,872,871,847,820,871,857,851,862,816,862,874,871,863,834,816,814,871,819,810,866,842,860,840,872,853,871,847,866,817,823,823,871,872,840,872,871,872,859,861,873,873,853,871,812,842,868,862,871,861,819,833,872,864,869,812,873,847,854,873,860,857,814,872,849,832,835,874,862,871,830,822,857,871,871,871,828,871,842,821,870,871,873,840,871,814,817,841,870,819,814,869,842,871,871,867,857,843,861,860,828,871,870,836,812,817,868,853,825,824,862,862,872,871,865,872,856,871,871,872,861,872,871,814,823,847,860,810,874,822,871,857,848,873,870,839,871,871,815,810,874,818,824,872,872,856,872,844,811,874,845,858,876,809,834,867,822,867,832,823,840,819,873,871,872,863,815,876,874,864,859,829,873,867,872,816,857,868,852,873,868,818,856,819,870,866,814,812,870,823,874,876,868,823,826,875,855,873,824,870,853,840,812,875,873,815,875,872,817,853,855,874,871,847,822,873,875,817,851,855,844,855,871,871,872,854,821,846,854,865,816,870,865,874,810,809,839,869,864,866,832,875,837,871,869,824,810,854,815,874,861,812,872,872,819,871,873,839,840,811,864,865,871,833,819,833,819,873,822,815,871,854,873,873,812,873,816,873,871,861,871,855,870,814,835,835,845,872,853,870,873,875,840,851,866,865,846,860,817,837,871,818,828,865,873,854,874,851,825,849,822,873,853,818,854,818,871,813,872,811,849,823,872,872,872,817,841,873,824,869,826,816,871,874,874,851,865,846,827,867,811,866,815,871,874,812,873,862,841,873,868,873,844,818,869,873,818,839,872,876,813,812,873,818,815,827,815,871,850,857,820,861,871,829,871,873,810,874,874,872,873,873,811,862,814,869,873,864,873,837,840,873,816,850,867,817,815
3:874,811,808,875,876,809,867,810,872,861,877,875,875,810,869,817,809,810,872,871,873,873,868,815,817,870,863,811,809,873,809,875,810,871,871,815,841,811,829,809,876,875,812,863,875,812,878,873,877,834,875,811,849,870,818,809,838,856,875,809,872,824,824,876,810,870,870,875,808,872,848,872,809,876,877,876,810,807,871,878,809,873,868,809,867,812,814,871,866,869,809,874,875,809,808,811,874,873,870,811,812,875,877,871,844,877,874,807,810,809,818,869,870,810,816,810,862,808,853,878,809,869,871,855,876,875,809,876,876,810,873,863,809,856,875,871,855,842,814,874,874,810,876,874,874,866,813,874,841,875,812,873,809,874,844,874,875,808,809,814,875,875,811,823,825,813,874,878,808,875,837,877,871,877,811,809,870,808,873,808,811,810,875,877,851,870,847,847,859,874,874,873,875,839,866,875,875,811,813,853,877,872,839,871,826,871,818,836,871,875,810,860,810,877,872,849,872,875,832,809,809,876,812,870,828,808,825,809,823,869,875,875,874,864,874,873,862,875,875,827,819,816,855,875,809,816,836,808,856,874,859,811,877,867,809,872,810,874,857,811,871,869,876,873,833,874,808,873,870,850,876,839,877,874,864,811,835,871,870,864,873,809,875,869,811,873,876,867,872,870,809,877,812,873,810,873,808,876,830,877,815,875,810,811,808,874,874,874,811,824,867,811,811,875,809,813,815,817,876,810,864,815,807,874,871,809,864,810,875,875,873,820,808,822,812,809,875,874,808,873,809,863,870,809,871,811,871,811,809,811,839,815,874,812,812,809,877,871,870,871,851,854,849,810,876,811,878,871,873,874,812,875,813,873,877,875,858,810,810,808,866,810,810,821,876,810,874,810,811,812,811,876,875,810,871,875,809,811,810,811,811,873,811,873,816,811,877,812,812,812,875,871,813,859,813,870,812,839,811,874,875,877,808,812,809,811,874,875,873,874,815,829,843,837,810,865,873,869,851,829,809,837,868,809,815,845,807,876,872,828,874,859,812,844,876,810,876,873,875,816,872,872,874,877,817,876,810,864,876,820,870,810,838,871,874,811,872,809,857,814,830,876,869,812,848,829,863,809,872,812,809,814,826,875,838,874,827,848,809
4:811,812,813,873,870,829,812,876,812,834,824,875,812,874,874,810,810,875,812,810,811,809,811,812,844,813,812,812,821,811,812,874,824,875,810,810,877,877,809,809,810,861,873,810,814,820,872,839,875,873,824,871,870,854,870,875,877,876,810,860,873,877,808,810,875,868,809,875,871,874,814,873,862,810,825,811,859,877,833,812,875,810,874,877,811,866,873,878,877,809,866,811,809,809,810,810,874,876,871,818,872,875,871,836,836,836,817,834,817,873,872,824,875,809,824,873,876,868,876,811,824,871,833,836,875,810,809,813,877,875,851,873,809,841,869,810,866,875,877,814,870,814,812,874,811,811,873,855,877,810,871,859,870,878,818,878,872,809,841,873,868,864,841,832,817,835,808,864,877,874,837,873,873,822,861,828,831,812,877,872,870,824,810,856,873,810,875,872,812,874,825,874,810,809,873,825,849,810,871,809,872,809,812,874,873,874,852,852,872,863,871,869,875,872,873,870,863,875,874,869,870,809,864,812,878,811,871,875,809,876,870,853,871,870,874,872,870,823,874,874,872,811,816,848,810,844,874,847,875,809,876,873,874,876,871,874,871,878,812,817,874,810,811,876,876,824,850,853,876,873,832,811,875,823,811,851,855,826,841,876,840,873,828,874,865,876,816,874,813,855,876,810,871,873,852,871,874,816,842,875,877,875,809,870,871,875,874,874,809,876,809,809,873,864,810,876,874,876,828,808,809,876,821,812,812,876,871,873,852,809,876,876,850,873,856,874,816,846,862,810,863,875,841,874,820,855,878,816,809,873,875,878,871,869,877,875,845,853,877,877,811,874,830,820,877,871,809,826,875,868,835,872,835,811,871,820,870,809,810,811,875,874,870,870,823,874,864,808,875,875,871,827,870,811,814,874,874,865,812,824,872,810,810,809,875,867,825,809,875,874,871,840,871,808,876,810,875,808,810,809,809,872,876,814,875,874,871,875,875,877,810,850,809,868,866,807,813,852,875,877,877,855,808,812,873,810,811,875,876,874,807,812,809,810,811,809,809,875,811,847,809,811,809,860,810,872,866,875,876,875,821,809,811,812,811,811,862,811,872,875,875,854,877,875,809,876,811,873,815,870,871,860,870,860,815,875,873,815,864
5:862,808,877,870,816,824,815,875,811,870,820,814,825,875,812,811,810,811,873,810,862,817,876,874,810,874,859,875,871,842,820,810,869,875,811,873,810,873,811,871,855,857,873,875,814,874,810,820,874,874,809,870,873,809,812,839,809,822,819,812,812,871,874,876,864,870,819,809,876,870,811,842,870,874,816,843,866,808,813,873,814,874,810,824,874,878,876,874,874,865,875,870,818,877,845,875,818,835,875,873,874,847,855,865,834,820,877,875,854,825,861,874,832,872,871,855,871,809,877,870,851,810,873,839,862,872,877,870,875,872,866,870,876,837,875,809,874,874,812,857,876,842,875,809,849,873,848,863,854,875,872,871,831,872,874,811,831,818,873,841,848,874,875,869,875,863,810,873,867,812,843,867,870,838,876,872,873,844,811,876,808,855,841,871,874,875,875,876,851,857,819,838,810,861,875,851,876,875,870,833,849,854,815,875,874,811,853,836,832,820,873,817,870,811,849,841,814,817,843,816,871,843,874,855,872,865,823,847,875,812,874,819,875,808,816,809,850,849,859,839,873,861,817,868,861,819,867,831,872,843,867,872,822,813,815,875,876,819,809,809,876,877,809,874,809,809,874,865,854,875,866,871,865,874,875,811,809,851,876,845,810,870,871,851,825,809,810,823,847,876,872,837,826,874,809,870,868,852,809,811,813,851,874,809,876,867,876,811,873,862,810,809,875,811,868,838,872,870,809,877,875,874,809,870,875,872,871,850,877,811,812,874,810,809,809,876,874,877,863,852,852,875,811,870,810,876,819,866,876,812,820,873,876,875,809,869,809,874,821,828,874,876,873,810,871,869,843,875,871,852,875,868,811,877,876,809,833,863,823,833,854,858,820,811,868,873,811,877,811,874,810,870,828,876,871,871,874,871,809,820,870,866,874,808,837,840,875,817,830,874,810,875,829,871,877,809,852,825,812,811,875,870,874,822,810,871,812,873,819,811,828,815,875,875,815,817,875,809,867,809,809,809,870,873,809,875,809,812,873,811,873,811,838,864,869,877,873,860,875,873,843,873,812,874,837,876,877,876,811,877,875,873,870,809,811,877,864,871,813,870,867,809,876,875,873,855,810,876,809,877,808,876,837,813,874,828,843,876,875
6:873,816,816,824,832,818,817,873,855,868,844,867,831,809,872,815,861,873,850,871,845,854,870,873,873,839,844,843,868,845,837,846,871,828,873,821,847,847,812,844,875,817,859,875,871,810,821,861,876,870,866,832,818,876,818,810,869,808,875,876,854,876,809,837,875,851,842,869,855,850,811,818,860,833,876,809,833,872,876,872,815,843,861,812,823,865,810,872,871,877,855,818,874,810,810,822,853,818,874,875,871,870,858,810,873,874,838,871,825,876,875,814,862,809,813,811,875,816,831,875,873,810,876,872,811,876,875,828,875,808,817,814,847,878,874,811,819,841,809,862,810,875,812,811,856,868,811,877,869,871,841,815,812,874,810,861,869,809,809,870,875,809,811,810,867,874,822,859,870,871,874,867,810,809,877,869,813,875,811,809,825,813,859,847,861,833,873,874,874,855,875,843,875,871,817,876,818,841,832,869,809,873,877,876,846,873,853,853,835,872,873,820,874,862,810,809,818,877,874,871,854,871,827,867,875,870,842,871,871,862,811,839,856,839,813,864,874,809,814,810,871,842,866,834,810,869,873,875,874,869,873,875,854,874,875,874,811,875,876,814,875,849,869,809,872,876,873,850,849,861,873,877,875,875,810,871,811,809,814,833,875,875,832,809,876,871,874,816,875,824,875,840,871,870,870,832,813,833,814,873,829,811,871,814,810,809,810,875,871,838,870,836,866,874,875,871,853,877,877,810,870,810,871,813,875,844,808,875,854,877,869,810,872,809,808,873,877,865,876,868,821,809,809,831,851,812,847,874,823,873,847,872,871,819,813,838,870,852,872,811,870,875,810,869,810,876,811,866,809,876,809,811,866,817,838,819,875,813,811,873,872,814,876,875,844,811,876,811,813,874,870,846,876,846,818,873,859,837,875,876,809,877,812,812,814,810,809,876,876,876,811,811,809,871,877,810,871,876,814,812,852,823,872,813,872,876,870,809,846,809,811,877,809,867,875,860,812,876,875,876,811,849,872,875,809,809,868,871,811,874,824,810,870,811,870,875,810,838,871,863,875,877,810,815,876,821,857,854,810,875,810,877,810,831,862,859,845,871,870,809,873,820,869,831,860,812,873,874,876,874,820,838,866,831,827,868,812,823,828
7:877,811,875,815,864,857,809,876,874,856,876,876,873,870,809,878,809,860,872,877,824,876,859,876,861,867,867,877,811,877,841,876,808,808,875,839,813,814,871,874,861,871,874,868,821,824,876,818,811,824,814,857,821,855,859,876,873,876,830,818,848,869,870,876,822,817,877,825,872,871,808,875,874,852,873,871,866,850,872,808,810,874,876,873,874,873,856,810,876,875,875,858,877,874,871,857,876,876,815,840,809,875,877,815,849,871,877,877,814,877,869,877,858,875,810,816,877,875,807,841,812,878,811,876,808,853,834,873,870,814,875,877,815,877,840,872,877,816,874,835,875,815,812,870,867,809,875,812,873,830,877,864,830,855,874,835,854,817,850,878,875,871,813,871,856,815,860,843,873,819,860,828,871,844,813,872,875,875,874,809,813,819,838,845,872,876,814,815,835,822,847,824,871,815,836,821,841,869,872,821,819,813,844,874,812,846,872,857,852,876,841,815,812,851,873,809,821,871,809,830,861,810,874,877,817,869,815,877,853,814,873,876,824,875,873,876,872,828,811,874,873,808,858,871,844,816,851,809,875,873,849,876,874,834,874,809,821,874,877,863,854,852,877,871,851,869,813,812,818,873,876,824,870,818,871,842,876,813,855,871,874,871,874,820,852,822,876,810,809,848,874,877,827,869,811,809,876,877,874,815,877,877,874,873,854,810,823,808,808,869,834,813,809,876,872,810,822,852,873,876,809,838,830,809,809,878,811,819,821,853,876,857,877,875,871,829,872,839,856,869,829,871,853,858,811,809,862,812,811,871,810,809,813,811,871,877,819,867,811,839,875,811,871,866,867,873,875,850,837,824,864,852,875,873,815,867,815,809,873,818,825,833,811,871,877,857,878,809,871,830,877,867,869,871,877,877,809,809,820,823,875,876,812,872,871,876,810,876,815,858,829,843,850,869,856,825,829,872,874,836,831,819,874,876,817,877,877,876,865,876,813,861,874,811,817,838,877,844,871,876,859,818,843,857,869,872,811,868,839,830,876,811,876,866,857,874,862,809,851,870,824,809,877,809,834,813,876,870,860,812,818,813,871,809,843,874,859,832,827,874,810,866,877,817,863,818,872,866,823,825,843,811,873,847,817,871,863,871,818
8:857,817,873,875,817,869,838,838,873,827,853,847,871,812,871,809,871,852,815,877,814,873,810,875,868,848,853,815,842,875,845,818,868,810,871,872,865,873,824,850,872,858,871,850,862,815,874,852,872,873,811,872,810,811,872,813,876,816,870,874,829,857,809,871,809,874,877,807,875,812,873,813,814,875,850,826,853,865,857,809,864,812,835,875,871,878,811,842,872,867,814,809,877,876,856,840,838,831,875,865,872,875,857,873,827,839,813,874,874,809,826,809,811,875,832,810,862,874,865,870,837,871,851,811,872,872,872,874,875,810,817,836,871,815,825,863,875,820,814,816,872,871,819,838,876,814,866,815,861,877,811,876,822,871,813,829,811,871,874,819,830,865,851,843,866,814,877,812,858,817,870,826,833,872,869,877,865,871,876,872,814,874,870,812,873,837,862,826,871,816,872,841,876,816,871,831,810,867,871,810,836,877,872,876,845,878,871,875,872,808,874,843,826,833,877,875,812,825,826,871,828,872,877,874,872,869,870,809,876,816,875,814,824,838,845,831,872,875,810,858,874,858,874,818,875,875,809,872,818,817,831,878,856,852,877,808,812,862,835,877,851,848,809,873,871,833,874,878,876,829,871,809,877,809,876,830,810,821,871,809,808,875,873,862,813,809,874,870,871,811,861,873,853,829,809,848,809,849,876,813,873,810,865,874,825,846,820,878,876,809,810,877,819,812,817,874,870,808,809,872,877,845,836,810,821,831,876,865,809,834,871,813,808,841,874,814,811,809,808,809,871,820,809,871,871,816,836,853,820,872,832,875,875,810,821,877,876,863,848,862,850,832,876,876,810,853,822,873,814,810,870,852,811,830,837,863,810,872,859,871,811,827,874,874,825,813,873,878,849,817,877,876,846,877,875,820,809,874,821,871,877,809,877,824,822,876,877,843,809,822,871,822,873,809,876,875,876,841,876,812,811,854,808,874,843,873,812,809,874,876,877,811,875,873,871,871,874,846,853,810,811,871,861,875,868,824,877,871,867,810,870,809,818,873,812,808,864,858,815,831,815,814,872,872,867,876,812,820,858,875,878,811,874,869,817,865,820,877,871,871,872,874,809,866,812,869,819,824,872,812,824,875,811,874,876,811,877,872,862
9:872,872,850,876,876,857,809,871,877,875,812,809,821,809,825,809,840,875,860,809,876,869,841,874,873,877,872,809,875,818,808,876,873,876,809,871,870,809,857,875,810,876,875,810,874,840,825,834,870,876,825,809,871,816,861,871,855,875,809,875,809,808,810,865,809,809,877,876,810,856,821,870,871,809,845,819,874,874,808,872,809,815,838,871,808,875,872,845,833,871,813,815,842,810,811,867,808,873,833,872,811,861,874,835,838,811,874,815,808,810,809,817,871,809,874,859,868,843,876,875,809,836,876,818,857,837,864,810,875,842,873,871,874,841,871,871,875,875,821,816,873,875,875,825,871,871,874,870,811,867,873,856,873,872,871,828,874,858,875,866,812,810,856,875,877,846,876,807,829,810,874,808,810,876,874,868,877,828,875,876,877,872,808,814,808,868,865,862,822,855,843,875,811,814,839,871,872,822,811,810,810,812,874,874,877,876,873,810,874,875,809,810,871,872,841,815,865,808,875,851,851,874,835,810,808,810,811,874,810,809,809,811,809,811,812,810,809,870,809,863,871,809,867,875,809,808,874,811,860,871,811,876,810,875,809,811,810,874,875,812,857,814,846,874,812,876,875,810,874,877,811,873,870,810,831,875,873,875,876,809,810,874,857,868,873,862,876,820,874,811,811,870,811,809,813,808,876,811,809,875,876,809,875,814,811,870,851,862,865,875,833,810,875,809,877,875,871,811,826,812,872,856,810,876,809,815,876,809,810,869,809,874,812,874,876,810,811,812,877,812,872,875,810,875,875,811,874,873,878,811,810,811,846,874,875,847,810,869,853,870,821,876,874,875,863,863,871,812,811,811,809,811,875,874,809,875,874,813,875,810,811,812,812,875,812,875,877,875,868,808,874,812,823,875,812,876,812,866,809,813,810,811,810,810,871,811,864,875,809,874,874,859,869,876,875,873,870,874,810,809,873,809,812,809,808,851,870,814,810,809,871,874,819,873,866,867,813,873,847,874,830,876,811,810,874,810,871,874,874,873,811,867,834,876,809,871,875,870,843,808,808,859,876,842,811,873,871,810,809,874,823,861,876,811,875,873,871,810,873,869,869,877,811,810,871,807,809,874,863,874,877,875,837,875,810,861,814,808,871
10:811,875,875,812,874,811,811,811,808,811,875,811,812,876,810,808,812,877,871,875,875,874,808,874,836,828,870,878,869,875,811,876,875,876,812,810,869,842,811,875,812,823,875,810,811,875,811,813,857,842,870,812,877,868,855,810,810,878,812,876,873,812,876,811,810,876,873,819,875,850,811,811,875,870,811,814,812,812,812,873,811,874,874,876,812,873,816,811,811,812,875,876,813,874,849,856,812,875,874,875,856,812,809,815,809,809,877,810,862,813,874,811,838,878,875,813,858,811,875,874,877,840,811,873,810,875,811,809,844,812,878,811,845,875,875,811,810,811,811,871,829,819,875,872,875,877,875,875,877,876,810,810,874,873,825,874,810,858,875,811,850,876,811,874,809,850,875,812,809,864,874,862,809,809,808,875,808,813,874,872,845,874,815,876,870,859,873,872,877,854,870,812,875,876,811,867,818,811,808,809,817,810,809,838,809,874,828,810,809,857,850,808,874,876,821,809,876,815,808,873,809,808,865,815,809,873,874,874,811,871,812,876,809,871,812,810,811,811,813,875,877,859,860,873,809,875,876,871,811,875,811,873,860,874,876,874,877,811,846,809,809,875,873,875,811,875,876,810,809,809,868,812,875,873,876,810,809,812,871,869,876,812,811,812,873,876,812,809,874,877,876,877,812,867,875,811,812,809,808,812,874,813,876,876,811,871,870,811,812,811,875,876,812,876,875,875,812,878,875,813,811,810,876,811,812,811,844,808,875,813,812,869,812,811,879,810,812,809,868,809,810,811,876,810,812,875,867,877,876,876,876,812,811,811,876,876,812,818,876,875,875,875,863,875,874,878,870,876,811,876,837,865,870,813,874,809,808,809,878,822,877,812,830,877,810,811,875,876,875,870,810,867,874,875,876,875,876,816,876,876,811,810,873,810,813,810,810,873,810,873,874,842,874,810,862,811,869,871,876,862,829,874,875,877,810,871,809,875,868,875,874,819,878,809,871,809,870,864,809,810,834,852,876,862,874,873,811,810,813,811,876,810,815,867,867,875,809,875,877,810,876,851,855,875,877,876,841,809,829,857,875,876,815,876,809,873,867,821,877,810,813,809,874,875,841,876,864,876,875,809,853,810,809,843,875,856,840,874,870
