1:1.028,0.662,0.576,0.568,0.552,0.546,0.542,0.516,0.516,0.506,0.5,0.492,0.492,0.488,0.484,0.48,0.472,0.464,0.462,0.45,0.424,0.424,0.416,0.412,0.41,0.404,0.384,0.378,0.374,0.374,0.372,0.368,0.286,0.246,0.24,0.232,0.198,0.18,0.178,0.166,0.156,0.124,0.12,0.116,0.1,0.078,0.078,0.064,0.064,0.052
2:1.032,0.95,0.944,0.91,0.906,0.864,0.626,0.618,0.588,0.566,0.536,0.534,0.514,0.512,0.51,0.506,0.504,0.5,0.498,0.49,0.482,0.482,0.482,0.482,0.474,0.468,0.466,0.456,0.438,0.418,0.412,0.404,0.398,0.396,0.378,0.376,0.368,0.366,0.35,0.34,0.34,0.338,0.328,0.322,0.318,0.316,0.314,0.312,0.302,0.246
3:1.306,1.014,1.014,0.994,0.99,0.982,0.97,0.966,0.954,0.954,0.952,0.95,0.932,0.928,0.92,0.91,0.902,0.896,0.894,0.858,0.856,0.562,0.546,0.526,0.482,0.476,0.47,0.468,0.44,0.436,0.434,0.432,0.416,0.416,0.41,0.406,0.396,0.39,0.372,0.362,0.352,0.344,0.342,0.342,0.342,0.332,0.324,0.3,0.228,0.216
4:3.874,1.346,1.346,1.33,1.234,1.15,1.142,1.062,1.06,1.058,1.052,1.048,1.046,1.04,1.038,1.03,1.03,1.028,1.02,1.018,1.01,1.002,0.998,0.992,0.986,0.976,0.96,0.958,0.952,0.622,0.612,0.596,0.556,0.554,0.554,0.552,0.534,0.516,0.514,0.514,0.51,0.466,0.44,0.432,0.376,0.364,0.356,0.35,0.324,0.28
5:10.028,4.028,3.908,3.892,3.786,3.776,3.604,3.414,1.396,1.396,1.34,1.328,1.328,1.324,1.31,1.302,1.298,1.23,1.11,1.082,1.056,1.054,1.048,1.048,1.04,1.014,0.99,0.972,0.968,0.936,0.884,0.878,0.868,0.862,0.644,0.638,0.612,0.61,0.544,0.538,0.498,0.49,0.448,0.428,0.426,0.418,0.378,0.344,0.328,0.272
6:16.078,14.176,14.042,13.98,13.678,13.006,12.208,4.252,3.988,3.916,3.836,3.83,3.796,3.778,3.776,3.76,3.744,3.662,2.742,1.834,1.712,1.408,1.376,1.35,1.3,1.3,1.28,1.176,1.046,1.042,1.028,0.972,0.97,0.906,0.618,0.598,0.558,0.5,0.492,0.476,0.472,0.458,0.454,0.42,0.414,0.388,0.35,0.328,0.312,0.22
7:15.724,15.398,15.278,14.946,14.36,13.916,13.818,13.788,13.756,13.726,13.612,13.39,12.9,12.874,12.78,12.73,12.696,12.46,11.8,11.786,5.614,4.15,4.012,3.924,3.878,3.754,1.72,1.7,1.696,1.656,1.596,1.142,1.022,0.992,0.654,0.628,0.594,0.558,0.518,0.506,0.504,0.492,0.452,0.422,0.392,0.384,0.348,0.316,0.302,0.258
8:17.788,15.262,14.536,14.354,14.134,14.066,13.912,13.862,13.85,13.388,13.376,13.362,13.26,13.028,12.812,12.744,12.744,12.208,12.152,12.11,12.102,4.846,4.56,4.152,3.856,3.852,3.692,1.764,1.666,1.65,1.572,1.094,1.022,0.994,0.656,0.552,0.552,0.532,0.498,0.496,0.496,0.396,0.392,0.376,0.362,0.342,0.334,0.322,0.308,0.224
9:16.882,16.27,16.176,15.464,15.322,15.15,14.886,14.744,14.592,14.514,14.376,14.224,14.18,14.044,14.032,13.918,13.826,13.822,13.786,13.622,13.59,13.38,13.264,13.05,12.414,12.41,12.198,12.122,11.906,11.252,8.242,8.062,4.842,4.586,4.564,4.12,4.038,3.942,1.682,1.028,0.582,0.556,0.542,0.532,0.466,0.43,0.352,0.26,0.246,0.232
10:15.742,15.71,15.442,15.382,15.28,14.996,14.96,14.802,14.432,14.252,13.936,13.612,13.244,13.11,12.924,12.768,12.694,12.636,12.546,12.528,12.416,12.356,11.876,11.724,11.404,11.396,11.174,10.776,10.662,6.776,6.358,4.816,4.108,3.542,3.422,1.576,1.108,1.048,0.594,0.576,0.512,0.482,0.456,0.434,0.408,0.36,0.35,0.248,0.196,0.112
11:25.338,20.698,16.43,13.888,13.566,13.506,13.422,13.386,13.014,13.006,12.936,12.81,12.778,12.688,12.5,12.422,12.4,12.366,12.272,12.262,12.25,12.156,12.078,12.062,12.06,11.988,11.654,11.398,10.964,10.3,9.686,3.332,3.288,3.25,3.03,1.664,0.952,0.74,0.632,0.59,0.566,0.526,0.42,0.41,0.404,0.384,0.344,0.256,0.238,0.164
12:31.088,29.652,29.15,28.776,28.192,27.174,26.284,25.012,17.924,17.448,16.996,15.648,13.642,13.216,12.722,12.708,12.632,12.594,12.46,12.378,12.28,12.268,11.974,11.912,11.894,11.886,11.734,11.608,11.596,11.566,11.558,11.486,11.438,11.426,10.54,9.93,9.818,4.364,2.332,1.714,0.612,0.574,0.552,0.462,0.454,0.44,0.402,0.224,0.176,0.144
13:33.32,31.174,30.224,29.25,29.02,28.818,28.454,26.46,24.726,23.708,23.518,21.77,20.712,18.364,17.3,15.878,15.252,15.232,15.044,14.7,14.044,13.608,13.6,13.56,13.404,13.202,13.104,12.854,12.768,12.736,12.626,12.364,12.304,12.068,11.816,11.124,6.68,1.604,0.656,0.618,0.554,0.55,0.526,0.52,0.488,0.454,0.442,0.408,0.388,0.232
