1:0.618,0.51,0.468,0.45,0.362,0.238,0.228,0.208,0.2,0.196,0.19,0.188,0.184,0.184,0.18,0.18,0.18,0.18,0.176,0.176,0.166,0.164,0.164,0.162,0.16,0.156,0.148,0.148,0.148,0.144,0.144,0.144,0.14,0.132,0.132,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2:0.666,0.642,0.594,0.544,0.528,0.524,0.508,0.492,0.486,0.476,0.46,0.456,0.456,0.42,0.392,0.372,0.366,0.362,0.356,0.344,0.318,0.312,0.284,0.216,0.212,0.208,0.2,0.196,0.188,0.188,0.184,0.18,0.18,0.18,0.18,0.176,0.17,0.168,0.156,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3:1.368,0.882,0.662,0.658,0.656,0.646,0.644,0.638,0.606,0.606,0.606,0.598,0.598,0.588,0.586,0.584,0.534,0.522,0.52,0.51,0.506,0.492,0.474,0.464,0.388,0.332,0.294,0.278,0.256,0.224,0.208,0.206,0.206,0.206,0.2,0.2,0.2,0.2,0.192,0.192,0.192,0.186,0.184,0.182,0.18,0.17,0.152,0.14,0.124,0.0
4:3.794,1.462,1.446,1.424,1.394,1.384,1.366,1.362,1.296,0.92,0.898,0.716,0.708,0.654,0.644,0.62,0.618,0.618,0.612,0.61,0.602,0.598,0.596,0.592,0.58,0.58,0.406,0.386,0.372,0.232,0.22,0.208,0.188,0.188,0.186,0.184,0.178,0.176,0.172,0.172,0.164,0.15,0.144,0.14,0.136,0.132,0.0,0.0,0.0,0.0
5:4.942,3.838,3.76,3.572,3.544,2.656,1.528,1.502,1.498,1.458,1.45,1.434,1.432,1.428,1.418,1.402,1.39,1.388,1.382,1.36,1.342,1.338,1.316,0.796,0.772,0.692,0.678,0.638,0.616,0.616,0.604,0.602,0.598,0.574,0.496,0.456,0.446,0.216,0.212,0.198,0.196,0.196,0.184,0.184,0.16,0.0,0.0,0.0,0.0,0.0
6:5.32,5.308,4.816,4.74,4.472,3.658,3.616,3.532,3.532,3.522,3.468,3.462,3.4,3.326,3.232,3.212,3.104,2.902,2.794,2.722,2.702,2.322,1.684,1.468,1.444,1.398,0.768,0.688,0.648,0.53,0.524,0.492,0.482,0.456,0.228,0.194,0.19,0.188,0.172,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7:8.154,6.774,5.428,5.382,5.238,5.182,5.178,4.972,4.938,4.868,4.856,4.796,4.77,4.706,4.638,4.588,4.576,4.546,4.448,4.176,2.72,2.35,2.172,1.568,1.524,1.5,1.46,1.422,1.412,1.41,1.362,1.016,1.012,0.696,0.24,0.208,0.192,0.152,0.136,0.126,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8:8.172,7.418,6.298,6.142,5.85,5.504,5.372,5.216,5.158,5.156,5.102,5.058,5.026,4.928,4.91,4.896,4.876,4.864,4.846,4.824,4.812,4.804,4.674,4.582,4.512,4.496,4.432,4.136,1.998,1.398,1.118,0.972,0.9,0.634,0.482,0.478,0.412,0.24,0.172,0.168,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9:10.174,8.922,8.604,8.59,8.314,8.128,7.964,7.936,7.862,7.736,6.24,6.216,6.08,6.026,6.014,5.922,5.846,5.81,5.786,5.594,5.322,5.318,5.28,5.22,5.14,5.102,5.078,4.46,3.412,0.75,0.54,0.508,0.492,0.46,0.414,0.368,0.364,0.224,0.2,0.176,0.16,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10:10.936,10.796,10.368,10.058,9.798,9.442,8.808,8.446,8.344,8.248,8.234,8.174,8.108,8.084,8.026,8.008,7.972,7.92,7.87,7.84,7.718,7.638,7.04,6.908,5.842,5.26,4.684,0.49,0.468,0.432,0.384,0.228,0.228,0.224,0.224,0.212,0.212,0.2,0.192,0.188,0.172,0.172,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:18.132,11.488,11.486,11.42,11.388,11.38,11.28,11.258,11.006,10.866,10.736,10.692,10.686,10.616,10.568,10.544,10.224,10.16,10.114,10.014,9.96,9.862,9.502,9.208,9.1,8.902,8.224,8.14,8.108,7.998,7.67,7.616,4.666,0.484,0.448,0.436,0.392,0.204,0.204,0.2,0.196,0.192,0.188,0.148,0.0,0.0,0.0,0.0,0.0,0.0
12:20.672,20.624,19.622,19.348,19.16,18.68,18.632,16.986,11.608,11.47,11.384,11.278,10.972,10.876,10.84,10.826,10.574,10.526,10.5,10.352,10.336,10.324,10.282,10.262,10.16,10.026,10.022,9.976,9.886,9.564,9.458,9.336,9.152,9.06,8.048,7.054,1.116,0.776,0.558,0.506,0.216,0.208,0.196,0.192,0.18,0.166,0.164,0.0,0.0,0.0
13:20.396,20.1,19.818,19.664,19.586,19.564,19.326,19.272,19.162,19.148,18.944,18.808,18.788,18.244,18.196,18.16,18.058,18.048,17.976,17.75,11.414,10.872,10.748,10.226,10.146,10.134,10.124,9.934,9.772,9.624,9.578,9.57,9.362,9.154,9.044,9.022,8.996,8.192,7.382,1.454,1.142,0.868,0.446,0.372,0.214,0.19,0.188,0.18,0.164,0.0
14:21.288,20.81,20.35,20.328,20.116,19.882,19.788,19.716,19.696,19.092,19.072,19.02,19.008,18.994,18.89,18.844,18.804,18.712,18.702,18.444,18.27,18.23,18.19,18.13,17.74,17.732,17.718,17.566,17.308,16.868,12.65,11.04,10.84,10.752,10.728,10.694,10.354,10.35,10.074,9.716,8.752,1.426,1.132,0.858,0.526,0.502,0.268,0.2,0.192,0.0
15:20.652,20.602,20.4,20.24,20.054,19.888,19.87,19.838,19.732,19.684,19.61,19.582,19.562,19.504,19.446,19.444,19.27,19.264,19.14,19.114,18.868,18.762,18.72,18.664,18.41,18.186,18.142,17.97,17.45,17.39,11.76,10.918,10.822,10.73,10.392,10.388,10.328,9.294,2.314,1.372,1.178,0.512,0.478,0.466,0.42,0.204,0.2,0.2,0.0,0.0
16:21.07,20.788,20.756,20.676,20.268,20.122,19.92,19.886,19.644,19.57,19.446,19.282,19.132,19.086,19.078,19.026,18.884,18.874,18.756,18.672,18.646,18.548,18.544,18.392,18.358,18.324,18.258,18.006,17.938,17.808,17.734,17.5,16.86,14.612,11.112,9.968,9.904,9.846,9.462,9.156,8.834,1.44,0.522,0.518,0.454,0.384,0.208,0.192,0.0,0.0
17:22.498,20.668,20.492,20.426,20.08,20.07,19.884,19.794,19.636,19.596,19.472,19.09,19.02,18.934,18.886,18.872,18.796,18.714,18.692,18.604,18.478,18.408,18.396,18.388,18.246,17.842,17.746,17.286,17.256,16.906,14.542,11.358,10.982,10.934,10.716,10.426,10.304,9.06,8.906,1.318,0.426,0.416,0.404,0.24,0.2,0.184,0.18,0.164,0.0,0.0
18:21.84,21.584,21.204,20.894,20.754,20.682,20.482,20.366,20.27,20.174,20.098,19.86,19.77,19.66,19.556,19.36,19.33,19.314,19.192,19.102,19.008,18.974,18.902,18.866,18.862,18.836,18.792,18.772,18.558,18.446,18.438,18.184,18.182,18.182,18.15,17.984,17.796,10.78,10.398,10.0,9.874,1.136,0.548,0.476,0.462,0.438,0.416,0.236,0.176,0.0
19:20.842,20.618,20.478,20.462,20.414,20.378,20.346,19.912,19.91,19.828,19.806,19.776,19.708,19.6,19.594,19.49,19.44,19.314,19.276,19.208,19.162,19.066,19.064,18.974,18.952,18.868,18.826,18.808,18.698,18.666,18.596,18.564,18.536,18.478,18.29,18.288,18.206,18.186,18.182,17.254,16.458,9.956,9.736,9.526,9.484,1.832,0.97,0.45,0.44,0.0
20:20.782,20.502,20.29,20.182,19.962,19.918,19.798,19.778,19.74,19.738,19.724,19.628,19.612,19.59,19.44,19.384,19.308,19.248,19.232,19.216,19.206,19.068,18.954,18.948,18.942,18.918,18.876,18.722,18.65,18.604,18.526,18.508,18.462,18.402,18.326,18.292,18.156,17.812,17.724,17.274,17.226,16.878,16.606,15.24,9.38,9.116,8.274,1.104,0.0,0.0
21:21.144,20.846,20.634,20.594,20.264,20.144,20.104,20.03,19.956,19.904,19.892,19.882,19.836,19.788,19.786,19.708,19.684,19.63,19.556,19.456,19.348,19.258,19.23,19.204,19.202,19.166,19.098,18.996,18.934,18.866,18.726,18.674,18.644,18.37,18.238,18.17,18.102,18.072,17.31,15.974,11.604,9.59,9.4,1.062,0.528,0.512,0.492,0.478,0.0,0.0
22:21.28,20.674,20.632,20.58,20.468,20.36,20.176,20.162,20.104,19.99,19.978,19.894,19.838,19.728,19.704,19.698,19.682,19.65,19.612,19.502,19.496,19.496,19.468,19.37,19.342,19.26,19.192,19.184,19.184,19.148,19.07,19.028,18.644,18.6,18.43,18.344,18.324,17.836,17.492,17.478,15.504,13.758,9.328,1.124,0.528,0.474,0.444,0.41,0.0,0.0
23:21.476,20.91,20.81,20.734,20.65,20.444,20.42,20.268,20.21,19.958,19.85,19.848,19.804,19.762,19.678,19.658,19.634,19.626,19.562,19.554,19.536,19.518,19.478,19.468,19.336,19.27,19.27,19.27,19.262,19.054,19.018,19.01,18.996,18.948,18.826,18.766,18.762,18.344,18.078,18.054,18.016,15.126,8.218,3.414,1.202,0.486,0.476,0.0,0.0,0.0
24:20.858,20.85,20.29,20.268,20.244,20.128,20.096,20.09,20.062,19.986,19.94,19.896,19.84,19.78,19.748,19.726,19.636,19.63,19.616,19.47,19.412,19.356,19.336,19.12,19.116,19.106,19.1,19.066,19.008,18.868,18.81,18.766,18.738,18.588,18.538,18.278,18.162,18.074,18.032,17.828,17.6,14.936,13.342,0.54,0.49,0.192,0.0,0.0,0.0,0.0
25:22.09,21.71,20.962,20.732,20.664,20.658,20.636,20.634,20.628,20.614,20.56,20.548,20.474,20.454,20.438,20.396,20.326,20.146,20.132,20.13,19.942,19.918,19.904,19.888,19.824,19.758,19.556,19.53,19.53,19.388,19.294,19.272,19.266,19.262,19.246,18.964,18.902,18.778,18.752,18.688,18.316,18.18,17.502,17.392,16.726,11.426,0.562,0.188,0.188,0.0
26:20.72,20.674,20.526,20.496,20.494,20.436,20.4,20.302,20.248,20.246,20.208,20.204,20.158,20.136,20.086,20.08,20.032,20.002,19.954,19.936,19.916,19.914,19.902,19.876,19.776,19.72,19.644,19.62,19.508,19.418,19.362,19.266,19.224,19.022,18.976,18.896,18.76,18.694,18.612,18.298,16.866,16.602,15.452,11.168,1.148,0.54,0.16,0.0,0.0,0.0
27:22.426,21.184,20.99,20.66,20.54,20.518,20.5,20.47,20.464,20.458,20.454,20.428,20.382,20.372,20.352,20.184,20.14,20.048,19.886,19.88,19.776,19.674,19.626,19.538,19.534,19.502,19.354,19.276,19.212,19.164,19.15,18.996,18.898,18.726,18.488,18.332,18.328,18.17,18.042,16.326,16.18,3.45,1.01,0.56,0.498,0.436,0.14,0.0,0.0,0.0
28:20.954,20.834,20.81,20.708,20.69,20.636,20.604,20.534,20.468,20.306,20.302,20.286,20.274,20.268,20.194,20.074,20.064,20.02,20.016,19.926,19.836,19.736,19.72,19.678,19.652,19.628,19.602,19.59,19.39,19.356,19.188,19.182,19.176,19.168,18.868,18.862,18.816,18.77,18.378,18.116,17.064,10.602,1.122,1.122,0.886,0.54,0.474,0.45,0.0,0.0
29:21.778,21.116,20.824,20.662,20.48,20.292,20.224,20.156,20.14,20.042,20.04,20.006,19.904,19.892,19.784,19.776,19.764,19.742,19.736,19.732,19.682,19.64,19.614,19.606,19.482,19.458,19.402,19.356,19.326,19.124,19.036,18.976,18.976,18.694,18.608,18.434,17.03,15.856,7.318,1.144,1.092,1.048,0.532,0.512,0.456,0.164,0.156,0.0,0.0,0.0
30:21.32,20.958,20.598,20.538,20.518,20.456,20.422,20.394,20.298,20.18,20.146,20.102,20.042,20.0,19.966,19.954,19.954,19.85,19.844,19.82,19.738,19.614,19.57,19.54,19.424,19.41,19.276,19.256,19.146,19.022,18.97,18.836,18.434,18.244,18.182,17.68,14.252,14.09,9.356,1.24,1.09,1.0,0.528,0.494,0.484,0.224,0.196,0.0,0.0,0.0
31:21.618,21.126,21.06,20.93,20.792,20.556,20.554,20.528,20.492,20.468,20.404,20.382,20.328,20.216,20.188,20.066,20.028,20.0,19.964,19.864,19.86,19.854,19.798,19.638,19.342,19.288,19.264,19.24,19.216,19.138,19.138,18.914,18.83,18.322,18.252,18.032,17.534,16.864,16.312,13.264,1.152,1.132,0.522,0.508,0.46,0.38,0.242,0.18,0.0,0.0
32:22.386,21.246,21.116,20.822,20.706,20.602,20.41,20.398,20.332,20.326,20.254,20.226,20.222,20.22,20.16,20.134,20.032,19.966,19.906,19.892,19.748,19.682,19.644,19.484,19.454,19.434,19.426,19.424,19.372,19.358,19.34,19.272,19.164,18.996,18.71,18.706,18.65,17.764,13.698,12.34,1.094,0.498,0.492,0.486,0.44,0.196,0.192,0.0,0.0,0.0
33:21.398,21.352,21.204,21.138,20.896,20.686,20.528,20.312,20.304,20.286,20.284,20.262,20.188,20.14,20.054,19.978,19.976,19.962,19.958,19.936,19.902,19.848,19.842,19.826,19.728,19.714,19.536,19.51,19.502,19.466,19.378,19.272,19.266,19.256,19.032,19.028,19.018,17.068,16.264,12.96,1.162,1.14,0.896,0.536,0.522,0.462,0.188,0.0,0.0,0.0
34:21.69,21.268,21.216,21.17,20.978,20.772,20.768,20.692,20.636,20.608,20.57,20.57,20.328,20.282,20.202,20.168,20.094,20.064,20.058,19.976,19.874,19.764,19.724,19.672,19.612,19.59,19.564,19.564,19.498,19.388,19.308,19.172,19.116,18.954,18.89,18.818,18.32,17.664,17.636,15.472,15.33,15.322,1.132,0.916,0.806,0.482,0.458,0.426,0.0,0.0
35:22.596,21.95,21.774,21.604,21.564,21.562,20.76,20.71,20.482,20.4,20.334,20.202,20.148,20.04,19.996,19.684,19.644,19.628,19.572,19.566,19.498,19.488,19.478,19.26,19.204,19.166,19.066,19.064,19.05,19.046,18.928,18.906,18.698,18.286,18.196,18.168,18.074,18.038,17.62,15.876,15.544,1.124,0.994,0.858,0.494,0.46,0.456,0.454,0.408,0.172
36:21.802,21.226,21.17,20.966,20.938,20.884,20.848,20.832,20.688,20.668,20.582,20.482,20.446,20.332,20.296,20.256,20.058,20.03,20.016,19.94,19.868,19.83,19.816,19.78,19.702,19.61,19.608,19.516,19.406,19.326,19.316,19.272,19.052,18.988,18.936,18.824,18.638,18.458,18.396,17.666,16.072,15.184,14.522,0.88,0.816,0.508,0.502,0.47,0.452,0.188
