1:185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:525,1808,392,345,116,104,54,431,335,420,3632,410,560,180,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:697,295,419,461,207,356,322,116,35,206,182,143,140,147,101,735,59,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:12,19,26,39,66,4,13,6,2,1,16,12,4,8,8,4,2,1,31,69,107,58,20,24,18,96,37,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:50,159,33,89,25,176,211,238,124,15,28,48,40,45,9,29,11,53,39,65,14,116,60,75,106,72,61,31,82,64,131,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:166,108,261,105,14,52,53,116,57,39,16,22,46,3,7,15,20,26,27,71,49,88,57,6,14,33,22,14,19,9,21,8,66,27,195,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:268,103,81,86,39,41,42,59,35,44,60,23,43,25,97,62,147,28,41,25,14,29,45,38,18,23,34,84,63,9,13,46,4,22,102,7,68,158,33,105,0,0,0,0,0,0,0,0,0,0
8:150,93,28,131,81,101,177,40,39,40,24,62,4,14,13,34,10,31,16,3,8,1,101,60,100,17,32,33,23,7,2,22,18,22,44,14,16,57,67,124,0,0,0,0,0,0,0,0,0,0
9:243,234,414,287,296,191,123,79,209,107,127,54,10,89,20,208,72,73,2,7,4,2,69,128,51,20,28,38,46,108,38,12,58,15,45,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0
10:323,19,58,118,12,16,30,67,14,53,12,10,37,20,23,6,3,12,10,2,3,6,7,1,7,16,2,10,9,14,7,15,10,12,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:139,25,23,123,40,115,48,26,25,4,6,4,8,7,12,13,3,2,7,17,6,2,1,10,7,3,5,3,7,3,12,4,7,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:21,15,10,20,6,3,4,9,8,6,2,1,4,13,38,24,27,12,10,14,11,8,27,15,15,17,55,10,2,10,13,7,8,6,2,2,1,3,9,11,0,0,0,0,0,0,0,0,0,0
