1:64381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:69323,68035,67908,67292,67077,66577,65444,65003,64650,64197,63483,63323,62980,56851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:70818,70111,69460,69375,68960,68449,68269,68185,68156,67982,67673,67659,67288,66943,66921,66906,66559,66362,66013,65894,65708,65376,64400,64088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:73408,72514,71682,71477,71453,71449,71245,71230,71093,70803,70736,70660,70619,70579,70202,70014,69629,69335,69003,68619,68266,68040,68022,67542,65914,62782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:72153,71945,71821,71681,71646,71527,71416,71226,71016,70709,70636,70545,69350,69052,68933,68095,67925,67264,66156,66045,65236,65165,64409,64402,64361,64096,63843,63705,63597,63094,62943,62294,62172,61657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:71518,70761,70427,70397,69964,69937,69712,69501,69410,69277,69169,69048,68959,68791,68722,68680,68585,68412,68299,68095,68021,67710,67694,67606,67606,67477,67425,67386,67357,66910,66876,66818,66698,66260,66003,64568,64349,59178,0,0,0,0,0,0,0,0,0,0,0,0
7:72316,71902,71829,71380,71193,71165,71017,70882,70772,70668,70630,70464,70405,70112,70006,69749,69674,69589,69589,69581,69565,69507,69499,69477,69460,69450,69373,69256,69153,69092,69035,68781,68739,68407,68263,68168,67764,66663,66571,63304,0,0,0,0,0,0,0,0,0,0
8:72039,72008,71721,71503,71342,71242,71170,71144,71079,71073,71029,70982,70858,70772,70594,70550,70539,70539,70252,69984,69721,69596,69443,69198,69142,69129,68915,68894,68890,68862,68796,68783,68310,67321,67140,66167,66007,65971,65830,65140,61996,39005,35686,-1,0,0,0,0,0,0
9:72953,72875,72834,72323,72121,72035,71759,71756,71572,71555,71410,71339,71272,71026,70985,70852,70750,70744,70575,70541,70524,70416,70245,70183,70059,69903,69783,69727,69621,69572,69546,68934,68922,68903,68889,68820,68814,68716,68703,68455,68265,67845,67396,67042,66311,0,-1,0,0,0
10:72896,72628,71839,71412,71300,71280,71203,70997,70891,70751,70700,70639,70627,70580,70577,70531,70400,70392,70341,70315,70294,70143,70134,70061,69936,69925,69904,69846,69799,69637,69534,69054,68916,68848,68661,68344,68333,68316,68241,67962,67853,67545,66740,66651,64700,61849,0,0,0,0
11:73402,73158,73060,72887,72757,72556,71980,71666,71423,71247,70995,70817,70754,70585,70504,70450,70378,70300,70260,70233,70179,70114,70058,69950,69821,69677,69582,69470,69345,69283,69189,68960,68736,68551,68536,68524,67984,67887,67758,67676,67438,67324,66917,65127,0,-1,0,0,0,0
12:73721,73222,73173,73124,72909,72873,72442,72245,72208,72009,71945,71900,71891,71889,71751,71576,71380,71374,71374,71334,71329,71325,71252,71221,71040,70943,70927,70792,70669,70587,69972,69873,69824,69440,69338,69314,69300,69234,68909,68732,64176,0,0,0,0,0,0,0,0,0
13:73452,73348,72845,72232,71969,71743,71633,71602,71183,71064,70997,70889,70876,70837,70826,70823,70801,70757,70719,70654,70603,70590,70578,70565,70366,70236,70144,70042,70002,69992,69861,69793,69518,69437,69252,69044,68982,68904,68897,68815,68566,68410,68304,68213,65230,0,0,0,0,0
