1:1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:2625,1466,1365,1105,977,956,624,417,369,362,329,196,195,186,174,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:14730,12900,6281,6255,5814,5227,4690,4536,4294,4097,3654,3504,3326,2879,2866,2849,2646,2468,2280,2080,1567,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:11293,8989,8855,8500,8310,8023,5407,5302,5015,4708,4362,3672,3377,3297,3137,3022,3013,2674,2246,2102,2002,1934,1909,1687,1538,1529,1303,1273,1172,968,845,320,32,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:32571,16276,13307,12766,12412,12229,10604,9641,9017,8952,8803,8625,8377,7880,7735,7655,7548,7238,7137,6740,6499,6319,5830,5687,5502,5323,4842,4186,3188,2698,2414,1910,1552,1247,960,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:42264,41265,40780,38058,31528,30650,26641,23097,17900,12697,11690,10765,10686,9925,9905,9103,8966,8151,7495,7409,7064,6855,6377,5989,5839,5838,5813,5801,5568,5266,5050,3725,3282,1845,1561,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:43598,39584,37077,36770,34266,33697,31976,31569,29507,29000,26460,25663,25417,25124,25040,24583,24539,24254,23870,23688,23596,23512,21865,21093,19770,18683,17424,13565,12560,9864,7014,6286,5656,2699,1528,1184,73,0,0,0,0,0,0,0,0,0,0,0,0,0
8:46765,46241,45414,41518,39922,38758,38221,34851,33473,33151,32851,31360,30564,29516,28966,28569,28525,28237,26938,26899,25691,25574,24177,23601,21816,20898,20542,18056,15927,15148,14756,13597,13072,10348,8748,3787,2110,751,5,0,0,0,0,0,0,0,0,0,0,0
9:45186,44334,41711,37865,36922,36506,35825,34850,33901,33453,32744,30580,28482,28403,28285,28153,26948,26618,26354,26176,26028,25656,25570,25256,24738,23618,23591,23155,22219,21698,21427,20869,20233,20171,19272,18377,16825,16726,15344,13925,13599,10623,9594,7603,0,0,0,0,0,0
10:47690,47352,45639,45381,42907,37476,37271,36201,35714,34778,34478,32417,32285,32038,31866,30504,29428,28764,28553,28320,27791,25883,25034,25030,24943,23794,22627,22183,22068,21727,21079,21012,19906,19840,18813,18543,16815,16537,15387,14751,14061,11912,10709,0,0,0,0,0,0,0
