1:124878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:102,98743,125785,125846,125996,126169,126243,126321,126351,126386,126487,126668,126806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:85908,89158,91775,93448,94001,96605,125521,125946,125964,126023,126289,126423,126615,126620,126623,126647,126656,126750,126802,126820,126940,127053,127222,127633,133004,133034,133064,133099,133101,133136,133187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:80821,83927,85682,87046,88861,89273,89373,91209,91928,92112,92654,93091,93810,93960,94432,94956,96842,124961,125762,126204,126242,131779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:51180,77674,79850,80712,81734,82889,83853,83880,84336,84561,84785,85095,86181,86261,86620,86981,87596,90097,90227,91445,92010,93305,95217,95385,95814,96445,96697,98379,103827,124264,125859,131511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:73971,75926,78137,78225,78506,78944,79105,80178,80664,81409,81414,81673,82713,82783,83659,83982,83991,84338,84982,85095,85302,85311,85845,85936,86353,87222,93333,94078,95031,98540,107694,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
7:51149,67350,69662,69767,71024,71176,71677,71917,72494,72797,72945,73037,73807,73868,75569,75784,75886,75924,76009,76656,76671,76687,76834,77570,77604,78267,79087,80441,82203,83062,83180,83405,84207,85622,90674,92756,93960,94534,-1,0,0,0,0,0,0,0,0,0,0,0
8:24587,44714,44869,46623,47661,65711,67900,71261,72740,72857,73020,73662,75034,75703,76387,77473,77946,78542,78557,78599,78993,79243,79566,79573,80220,80424,81062,81434,82034,82812,83000,83824,83864,83962,84513,85028,85773,86598,87287,91434,94425,-1,0,0,0,0,0,0,0,0
9:27381,25000,37255,40825,14890,12105,11958,11949,49045,49173,49807,9169,51049,8887,51153,8723,7409,5941,3729,71721,72881,73910,74001,74774,75342,76048,77470,77505,78484,78503,79578,80546,80645,81277,81498,81641,81956,83462,83625,83682,84164,97476,100158,129631,0,0,0,0,0,0
10:28171,33562,35736,23553,36953,21621,39038,40194,42993,45728,14135,47583,10654,49659,49818,9683,9657,50616,50704,9096,51253,51281,51482,51749,52490,6258,62776,76964,77114,77773,78492,78691,78959,79863,81750,82397,84251,84973,85231,85319,96317,97775,-1,0,0,0,0,0,0,0
11:31343,26618,33758,25829,36374,36441,22710,38345,38896,39769,20174,19800,40794,19200,18046,42016,17663,46403,47076,47188,11346,49475,49694,50135,50387,51332,8134,6830,75934,77131,78135,78804,79383,80724,83829,84621,88823,95578,-1,-1,-1,0,0,0,0,0,0,0,0,0
12:26566,33912,35190,35395,36389,38247,38763,39309,40189,40425,40641,40970,18780,41228,41611,42436,42753,43371,43796,14903,45134,12434,48468,48549,49312,50676,51157,5310,64895,65962,67345,69481,70248,72207,75083,85565,89164,107728,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
13:33316,35943,36152,36655,36917,22475,38594,38879,20959,39078,39674,39762,39772,39891,19104,41844,42181,42248,42401,42970,43784,43950,44052,45270,45825,48323,48724,49381,49384,52093,54895,61709,67869,68915,76503,76886,79856,89103,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0
