1:86682,87048,87082,87279,87317,87549,87714,87822,87844,87857,87889,87959,88084,88098,88121,88194,88229,88368,88461,88513,88594,88728,88737,88825,88836,88892,88911,88924,88943,89113,89229,89264,89521,89602,89662,89712,89850,89995,89998,90014,90381,90451,90462,90611,90664,90821,91094,91178,91417,93460
2:86516,86699,86890,87103,87159,87321,87341,87406,87415,87639,87727,87790,87810,87849,87863,88191,88248,88251,88263,88351,88397,88491,88515,88517,88541,88675,88725,88766,88793,89313,89411,89677,89724,89742,89877,89921,90306,90418,90503,90842,91298,91327,91598,94956,96976,0,0,0,0,0
3:87442,87452,87478,87567,87751,87803,87813,87836,87863,87960,87988,88035,88046,88191,88300,88348,88545,89057,89184,89309,89362,89398,89626,89815,89921,90185,90411,90438,90485,90607,90901,92085,92095,92708,96180,97528,97784,98516,100531,101436,102743,106099,0,0,0,0,0,0,0,0
4:86410,86653,87129,88247,88883,88943,88963,89080,89087,89164,89399,89439,89541,89547,89596,89762,89817,89907,90011,90021,90042,90115,90155,90231,90237,90611,90730,91387,91516,91524,91621,91816,92148,92682,93985,94576,95411,95443,95792,101484,104700,105222,130577,0,0,0,0,0,0,0
5:87110,87116,87501,87787,87899,87918,87951,87988,88032,88209,88308,88367,88465,88545,88587,88807,88898,89041,89453,89486,89539,89555,90062,90098,90113,90280,90499,90656,90816,91049,91081,91424,91618,91658,92856,92871,93218,93557,94100,95458,96101,-1,0,0,0,0,0,0,0,0
6:87498,87507,87512,87513,87585,87620,87627,87629,87692,87730,87864,87896,87900,87927,87953,87996,88014,88061,88098,88207,88251,88252,88460,88466,88763,88869,89053,89065,89314,89324,89328,89437,89718,89721,90115,90228,90264,90507,90956,91344,91524,92133,92397,93726,-1,0,0,0,0,0
7:86920,86987,87250,87311,87414,87488,87521,87631,87737,87810,87828,88098,88315,88353,88374,88416,88500,88514,88746,88761,88920,88941,88971,88973,89109,89156,89271,89337,89366,89569,89653,90148,90239,90264,90325,90419,90535,90855,91367,91517,93302,94863,95874,97272,-1,0,0,0,0,0
8:86578,86654,86834,87092,87100,87152,87422,87452,87569,87630,87787,87825,87864,87866,87971,88063,88071,88095,88159,88169,88218,88237,88238,88265,88271,88273,88343,88461,88582,88788,88821,89025,89166,89224,89249,89331,89379,89459,89522,89603,89615,91365,93802,0,0,0,0,0,0,0
9:83455,86647,86841,86870,87006,87011,87085,87100,87236,87277,87411,87440,87456,87460,87521,87764,87944,87964,87997,88000,88066,88099,88160,88204,88406,88461,88567,88581,88771,88983,89008,89066,89074,89271,89311,89440,89488,89823,90377,90609,91554,91664,91938,91974,95281,0,0,0,0,0
10:86806,86861,87069,87413,87461,87871,87987,88031,88171,88413,88505,88693,88753,88874,88875,89003,89216,89243,89428,89467,89911,89975,90362,90475,90587,90630,90712,90765,90837,90933,91002,91131,91243,91430,91610,91895,92285,93257,93270,93844,94158,94557,94590,101602,126793,0,0,0,0,0
11:86842,86910,86960,86963,87019,87061,87081,87100,87257,87397,87402,87425,87484,87527,87534,87548,87617,87660,87687,87702,87712,87725,87737,87809,87892,88061,88211,88274,88296,88572,88783,88832,89080,89134,89176,89563,89652,89858,90927,91471,92946,94366,95862,96639,98617,100133,126118,0,0,0
12:86392,86504,86617,86620,86677,86889,86922,86938,86945,86981,87049,87111,87217,87221,87413,87450,87452,87455,87479,87484,87491,87495,87496,87505,87524,87566,87580,87584,87616,87656,87685,87697,87724,87780,87795,87873,87964,87984,88039,88073,88116,88289,88405,88953,89361,90180,90452,93212,0,0
13:86605,86742,86893,86924,86939,87194,87220,87237,87312,87341,87400,87404,87416,87434,87441,87452,87466,87519,87537,87583,87646,87694,87745,87766,87770,87779,87818,88087,88373,88409,88441,88494,88605,88701,88719,88767,89262,89711,90683,90812,90993,91392,108640,129252,-1,-1,0,0,0,0
14:17,13154,83338,86551,86558,86567,86690,86806,86891,87019,87116,87170,87196,87202,87211,87215,87220,87239,87241,87261,87270,87297,87315,87336,87398,87441,87443,87508,87509,87513,87520,87590,87663,87671,87741,87756,87771,87827,87827,87885,87885,87903,87990,88001,99974,125153,0,0,0,0
15:1486,91,80,7874,17503,17532,18999,26067,40782,86822,86962,87197,87231,87293,87308,87309,87391,87404,87473,87534,87555,87587,87673,87719,87722,87726,87856,87863,87958,88062,88455,88573,88665,88932,89502,91170,91503,92193,93418,93482,124198,-1,-1,0,0,0,0,0,0,0
16:1299,528,356,266,142,69,58,44,10,9100,9362,10643,13856,15889,17894,19953,26843,34935,41682,42572,48846,51075,51168,51226,86488,86803,86856,87221,87265,87311,87355,87364,87499,87520,87581,87887,87897,88792,89154,90776,91777,92447,-1,-1,-1,0,0,0,0,0
17:125,119,74,71,60,54,47,47,40,34,27,24,24,23,9,8,6,5,5,5,3,1,10129,11071,12570,15057,17665,31711,40057,86585,86688,87245,87251,87262,87282,87298,87315,87322,87327,87416,87435,87547,87644,88953,-1,0,0,0,0,0
18:1105,1352,570,143,86,78,47,33,21,19,14,13,11,8,7,7,5,5,4,4,3,3,2,2,1,5143,31378,50912,86837,86899,87227,87247,87288,87307,87349,87983,88021,88330,88885,90113,-1,-1,0,0,0,0,0,0,0,0
19:1198,1290,679,1326,1473,1520,479,477,1555,408,1644,339,1773,1838,1865,103,60,56,32,26,11,1,2114,2404,2809,2898,5030,86719,87064,87269,87404,87413,87420,87423,87437,87670,88312,88480,91921,103024,-1,-1,0,0,0,0,0,0,0,0
20:1192,639,608,595,519,1527,370,243,232,1777,167,80,79,60,56,40,36,1966,2097,2327,2374,2471,2550,3310,4147,4908,5301,5709,7489,10479,12456,13180,87214,87353,87947,89079,89317,89331,89921,91598,-1,-1,0,0,0,0,0,0,0,0
21:938,832,1233,684,643,571,1496,503,500,469,450,286,281,69,11,2117,2435,2589,2993,3085,3195,3547,3655,4012,4317,4359,4450,4936,5170,5547,5822,6122,7077,7102,21308,21797,87220,87237,87262,88024,94895,105865,0,0,0,0,0,0,0,0
22:1095,1171,696,648,536,518,487,420,374,332,328,261,258,1786,182,157,146,106,1930,56,36,32,28,17,1,2043,2244,2348,2405,2542,2593,2793,3085,3086,3197,3526,4169,6408,10178,16269,88929,93283,95582,100750,0,0,0,0,0,0
23:847,532,469,1543,388,369,337,258,241,124,1914,64,19,17,1,2222,2297,2395,2519,2934,3222,3539,3937,4007,4092,4241,4308,4626,4909,5850,6181,6545,6567,6583,6586,6745,9235,9960,12222,13197,17702,89733,94130,96250,98554,0,0,0,0,0
24:1182,1188,609,526,1489,506,501,501,494,491,454,429,1574,1677,287,1720,1757,203,1803,186,170,157,1847,1921,31,1972,17,1988,9,1995,4,2085,2156,2200,2206,2308,3058,3581,5753,5823,10896,18628,89649,98401,-1,0,0,0,0,0
25:1207,1320,600,1434,512,1490,219,179,173,145,101,1905,1939,53,1950,27,2141,2285,2758,2917,2962,3010,3330,3505,3548,3601,3636,3711,4258,4352,5135,5366,5747,5932,6251,7037,7185,7930,8402,11439,89068,93730,0,0,0,0,0,0,0,0
26:922,1116,332,318,314,1741,194,110,105,5,4,3,2023,2331,2669,3269,4061,4259,4327,4413,4629,5130,5138,5538,5597,5767,5871,6128,6885,6992,7092,7343,8103,8116,8152,8238,8475,9368,9974,10290,10538,11350,13078,15909,18313,88829,91211,0,0,0
27:1213,715,655,606,1438,1450,1453,422,349,1730,248,151,1870,118,117,97,90,85,1926,68,61,55,1946,39,25,4,2287,2492,2500,2677,2832,3063,3421,3635,4796,4853,5223,5680,6040,6323,7792,7796,8361,10647,10852,18633,89639,90897,0,0
28:1239,1262,1318,556,1475,1538,452,451,1602,1669,288,214,198,168,156,146,113,90,62,51,26,18,1,2329,2344,2621,2755,2890,3155,3685,4737,4768,5114,5496,5639,5735,6206,6734,6754,8118,8996,10746,13171,16547,17199,87214,91798,0,0,0
29:782,727,684,664,1370,1412,502,383,1617,370,357,351,342,303,301,1700,264,251,239,1803,187,1860,1895,60,38,11,1,3395,3564,3830,3910,4681,5657,6166,7634,8251,8921,9487,9909,10037,10722,69212,77347,91446,91797,0,0,0,0,0
30:884,783,1258,577,1492,1547,448,433,424,403,1601,235,229,226,186,186,166,162,138,122,116,112,92,70,64,40,17,6,6,5,3,1,2562,3069,4317,6017,8902,9966,10330,71809,86539,88793,89250,0,0,0,0,0,0,0
31:872,761,735,702,667,651,1379,587,587,585,551,537,1476,481,478,473,425,422,409,402,354,268,255,251,237,213,199,182,171,1839,61,56,53,1961,33,1974,9,6,3263,3931,4980,87245,88840,91928,92403,0,0,0,0,0
32:1171,1338,574,1464,513,1632,351,301,297,270,249,222,180,1832,132,121,118,97,83,82,82,80,65,59,1943,50,47,31,23,18,2088,2811,2832,2860,3590,4365,7298,10766,45076,51455,87249,91305,92495,94843,0,0,0,0,0,0
33:866,769,1260,678,676,673,646,1372,416,375,262,258,1744,1759,207,191,163,147,142,106,104,95,93,93,88,53,51,50,25,18,3,2,2697,4564,5062,6479,6746,7390,18449,76305,86564,88048,88693,90157,-1,0,0,0,0,0
34:852,1155,1234,698,1319,604,568,1472,528,388,387,274,1749,245,244,198,136,104,81,64,62,56,49,1959,33,24,1,2335,2627,3069,3197,3390,4126,4312,5622,6485,22210,24785,67764,74598,87332,92995,93540,-1,-1,-1,-1,0,0,0
35:551,1545,1547,1582,417,405,311,238,182,114,2084,2170,2256,2501,2623,2737,3021,3390,3430,4095,4221,4522,5125,5353,5531,5640,6163,6756,7724,8389,9086,9889,11591,12412,21468,26680,27471,77048,87580,94546,-1,-1,-1,-1,0,0,0,0,0,0
36:1296,548,401,1623,337,302,268,228,1781,212,166,159,151,120,90,1911,16,2679,2683,3147,3235,3459,3518,3548,3875,4280,5042,5667,5859,6245,6548,6588,7612,7615,11222,13713,25668,45489,67748,86288,87550,95780,-1,-1,-1,0,0,0,0,0
37:775,548,512,457,443,1651,345,341,1662,334,330,1683,317,280,275,247,215,204,154,1906,75,38,36,10,2114,2160,2494,2588,2747,3096,3126,3777,10446,13348,15236,22477,34020,45041,71657,81280,87184,90272,-1,-1,-1,-1,0,0,0,0
38:1324,1368,601,465,456,446,443,1605,1643,1742,227,191,168,1838,1858,136,126,121,107,101,93,79,49,1953,9,5,2327,3442,3643,3709,4722,5065,5702,7762,8127,11944,21219,52174,87281,92693,-1,-1,-1,-1,0,0,0,0,0,0
39:716,637,576,479,479,469,367,332,330,310,1711,261,255,234,180,170,149,125,101,99,73,60,53,48,35,32,13,9,2150,2624,4528,5913,6263,12878,16348,20898,51192,93155,-1,-1,-1,0,0,0,0,0,0,0,0,0
40:1397,583,554,507,501,458,406,1597,402,392,390,389,389,370,346,281,266,252,234,234,212,191,152,1857,139,122,118,89,47,32,22,2144,2179,3133,3657,66585,118641,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
41:1385,583,1430,544,1507,490,432,404,345,326,1677,312,283,274,269,268,260,255,244,222,212,197,188,176,175,154,143,125,121,119,117,109,107,100,88,62,1943,50,2436,3514,4324,76030,77510,78958,80307,-1,-1,-1,0,0
42:755,528,488,1545,451,424,310,308,270,253,239,225,217,166,159,1852,144,140,137,120,111,103,103,102,100,91,82,73,53,46,46,35,35,32,32,29,29,10,9,2243,6896,54553,68563,100304,-1,-1,0,0,0,0
43:626,544,505,352,346,345,324,248,237,233,183,163,162,158,138,107,100,96,78,66,63,58,55,51,48,41,37,36,35,24,17,17,16,12,11,9,8,7,6,1,57070,66063,74615,-1,-1,-1,-1,0,0,0
44:758,592,527,527,436,393,385,276,273,246,244,234,212,209,172,168,165,156,126,120,77,59,52,49,47,39,36,34,34,22,19,14,14,8,8,2279,24604,47890,62331,63896,70007,87238,-1,-1,0,0,0,0,0,0
45:794,344,302,288,199,179,175,167,160,142,119,105,105,98,97,92,92,84,82,67,57,57,51,31,30,25,25,23,22,18,12,10,4,2889,9443,23120,52450,58257,64043,85700,86997,88735,-1,0,0,0,0,0,0,0
46:680,450,412,405,394,381,1619,333,281,274,268,262,256,246,222,200,195,167,152,145,140,134,130,117,101,100,99,97,81,74,73,71,65,50,29,17,2011,7416,30413,45745,51585,-1,-1,0,0,0,0,0,0,0
47:1228,1261,730,639,562,1491,437,399,397,394,330,239,232,214,209,174,172,172,169,161,158,158,146,137,118,114,97,96,89,79,78,77,75,55,52,52,45,43,33,17,17,17,1,24144,42628,51122,-1,-1,-1,0
48:927,793,724,622,437,423,407,385,372,345,324,322,281,270,249,215,174,160,158,158,141,136,127,118,85,80,67,58,57,53,48,48,36,34,24,21,18,18,6,3883,27522,39341,55827,-1,-1,-1,-1,0,0,0
49:795,641,594,1426,349,348,312,259,208,175,150,147,119,117,107,106,103,70,65,57,56,41,38,36,35,34,31,29,22,14,4,2011,2078,2528,3186,3425,3724,4151,4875,12159,51270,51363,65395,88307,-1,-1,-1,0,0,0
50:802,1236,637,503,481,1537,1546,1568,403,382,339,322,261,252,226,192,156,143,1878,111,91,9,2000,2287,2317,2319,3059,3123,3370,3462,3514,3863,4934,4983,6200,9885,10311,11678,13249,13915,14516,16585,51258,82590,87151,89458,-1,0,0,0
51:870,866,1206,792,767,763,758,675,669,600,586,1462,488,1518,475,462,437,409,406,1644,1648,310,1708,1754,194,192,164,3,2386,2475,2489,2589,2861,3066,3374,3546,3989,4045,4128,4204,5132,5310,12391,51203,84199,89435,-1,-1,0,0
52:1085,829,1206,1211,782,781,1224,770,1313,1396,1421,557,530,513,496,461,449,427,1579,1629,368,324,315,300,274,1744,1793,1815,1826,1881,118,1922,1929,1945,2195,2761,2811,3118,4286,4666,4991,6041,7659,15718,51329,85579,89614,0,0,0
53:884,1245,1280,693,671,571,1445,519,514,509,491,485,1516,474,474,429,418,367,362,354,332,323,318,1695,1699,1708,286,1715,1805,189,121,119,103,85,58,1969,2,2769,2844,3759,3877,9106,82105,0,0,0,0,0,0,0
54:804,771,746,1349,626,526,484,467,464,462,442,416,414,346,332,326,1686,279,1744,238,236,213,205,201,1816,173,173,147,137,98,42,3,2,2518,2622,3099,3575,6648,8152,8732,9450,10843,57567,79845,0,0,0,0,0,0
55:802,729,713,612,606,605,1447,529,517,510,1545,1556,379,325,325,1679,321,1701,1703,286,1724,268,261,261,234,1773,218,182,173,1881,112,99,1943,1962,1964,6,1,2024,2442,2529,2640,2857,4774,6195,8811,37752,51227,83537,-1,0
56:1130,856,743,720,1284,1286,656,595,584,1417,572,1479,507,1506,483,478,1538,446,1562,432,412,407,404,1607,380,342,329,327,286,222,212,1789,186,1925,12,2200,2984,3191,3339,3567,3670,3686,8627,25651,50804,62979,-1,0,0,0
57:1220,748,679,677,1346,631,628,593,1411,526,1497,473,469,436,1567,430,1596,403,1684,294,258,254,223,206,202,1823,166,1852,1860,119,1891,91,1966,2016,2063,2289,2771,4274,16652,21848,50289,57376,-1,0,0,0,0,0,0,0
58:1200,1242,1252,743,1294,694,688,674,661,1369,610,580,528,523,499,1511,476,444,319,274,1731,268,237,1770,190,190,1856,117,101,87,65,63,2199,2315,2577,3809,6809,13975,49332,113661,-1,0,0,0,0,0,0,0,0,0
59:923,887,1228,651,1401,1489,500,433,431,1577,417,1604,384,1623,1656,336,1665,307,1725,1739,256,223,1860,1887,1919,2121,2150,2154,2307,2354,2356,2477,2604,2746,3082,3422,3444,3681,7261,56150,86533,-1,0,0,0,0,0,0,0,0
60:912,1117,866,1136,1259,713,658,650,554,550,508,507,467,1585,1626,1652,344,1657,308,275,1727,267,266,1735,245,229,214,1825,114,100,77,70,1938,1966,1,2393,2733,2922,3508,4926,5322,61970,87227,0,0,0,0,0,0,0
61:1288,1324,613,570,1454,536,535,514,512,1499,359,345,1682,316,295,244,231,1775,213,1814,158,1844,155,145,131,51,17,1,2206,2394,2410,2471,2569,2661,2711,3345,3354,3377,6760,9997,87223,0,0,0,0,0,0,0,0,0
62:830,1191,1205,1246,751,1269,719,707,687,1346,1539,1559,367,353,1683,293,1717,250,1753,224,216,1791,139,1940,1995,1,2039,2306,2348,2390,2526,2594,2644,2649,2857,2962,2979,3037,4552,6835,7180,9287,14893,67094,-1,0,0,0,0,0
63:990,795,1226,769,1337,505,1585,280,257,252,1815,46,1961,34,1976,2257,2394,2473,2616,2805,3007,3081,3187,3280,3402,3442,3793,4023,4208,4257,4350,4441,4499,4771,4797,4847,4954,6427,8365,8806,10712,12216,17114,23182,-1,-1,0,0,0,0
64:1403,521,449,441,414,1599,1605,384,299,291,189,171,153,116,1912,1915,1922,2073,2075,2200,2388,2504,2544,2869,2906,3030,3323,3561,3589,3914,4191,4767,4844,5255,5331,5773,9456,11060,28184,53560,-1,-1,0,0,0,0,0,0,0,0
