1:0,0,48435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:0,0,33017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:0,0,47707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43877,0,0,0,43624,0,0,0,41130,0,47311,0,0,0,0,43541,0,0,0,0,0
4:2078,0,0,50998,0,0,0,0,0,0,46431,0,0,0,0,51069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50303,50351,0,0,26844,0,0,0,0,0,0,0,0,0,0,0,0
5:726,706,1540,1696,1739,1764,1783,110,1915,2526,5409,0,0,46365,0,0,0,0,0,0,0,0,14658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:1199,738,726,1349,1670,1858,1944,3,2260,2276,2608,2640,2785,2794,2934,3194,3231,3293,3368,3893,4389,4632,4728,4983,5342,5387,5462,6212,7977,0,0,0,0,0,0,23487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7:1009,896,822,812,1191,548,489,402,365,362,350,335,329,325,312,1689,1692,1711,258,202,192,179,168,167,145,143,95,85,1926,71,62,13,2021,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8:1095,905,799,1214,1215,1219,1322,602,1415,568,559,512,495,1508,442,431,389,338,318,279,269,1754,1793,107,104,102,100,99,99,88,1931,1972,16,7,1,2008,2313,2536,2600,3023,3053,3631,4399,5757,7458,0,0,0,0,0
9:374,337,228,205,203,143,129,122,118,102,97,84,78,73,73,70,67,57,56,55,50,50,47,45,42,41,40,39,38,38,36,35,33,30,28,27,24,22,19,16,12,10,9,8,4,1,0,0,0,0
10:687,603,495,470,456,452,426,405,403,374,370,357,329,293,257,256,252,245,215,207,196,179,178,151,150,134,115,110,101,96,83,74,72,71,66,62,46,40,33,29,26,6,2,2071,2369,0,0,0,0,0
