1:37583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2:30580,34697,35279,36244,47858,121934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3:31146,31456,31730,32074,32091,32349,32622,33285,33679,33779,34599,35207,35541,35766,35908,36407,36951,37426,38276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4:14970,28395,31400,31463,31694,31950,31961,32874,32898,32930,33153,33572,34617,36387,37602,37648,37862,37883,40250,40365,40778,41006,41414,42366,42963,43337,44731,47295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5:14028,14437,14440,15879,16250,16879,18814,18902,19203,29307,30485,30510,31764,32046,32636,33542,33622,33731,34038,34646,34832,35110,35821,36146,37086,37102,38352,40092,40789,45197,45473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6:9146,9858,11021,11161,11347,11669,11998,12089,13032,13161,13911,14200,14231,14273,14516,14736,15261,15476,15763,15980,16300,16670,16829,16830,17025,18097,19015,19025,19464,19831,20867,23808,29517,31120,31195,32196,38249,0,0,0,0,0,0,0,0,0,0,0,0,0
7:11645,12864,12896,12908,13052,13199,13602,13952,14441,14567,14641,14877,14934,15132,15309,15523,15526,15715,15781,15856,16180,16293,16668,16808,17265,17294,17331,17457,17521,17934,18423,18590,19044,20596,31203,31921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8:8309,9323,9376,9506,9536,9798,10096,10176,10536,10980,10991,11288,11413,11432,11491,11538,11605,11847,12034,12263,12649,12726,12863,12901,13085,13113,13254,13581,13945,14053,14275,14319,14437,14487,14680,14697,14831,14902,15052,16124,27037,27387,0,0,0,0,0,0,0,0
9:9843,10150,10657,10662,11021,11178,11994,12032,12155,12194,12211,12280,12459,12532,12690,12734,12761,12778,12884,12988,13083,13314,13410,13514,13581,13608,13642,13822,14052,14109,14110,14113,14133,14297,14599,14686,14820,15255,15341,16100,16312,17752,18702,20366,0,0,0,0,0,0
10:9373,9925,10216,10446,10532,10656,10893,11057,11203,11320,11346,11378,11558,11584,11596,11710,11736,11938,12015,12319,12370,12411,12716,12770,13056,13139,13337,13405,13696,13769,13873,14002,14012,14336,14999,15111,15165,15597,16062,16270,16546,16960,21818,0,0,0,0,0,0,0
11:7325,8173,8501,8802,9366,9835,9900,10157,10169,10188,10292,10422,10540,10878,10944,11166,11496,11686,11696,11712,11847,11859,12253,12375,12478,12638,12866,14036,14086,14159,14289,14631,15359,15404,15501,15688,16212,17706,19156,19518,21027,23580,27263,37720,39240,0,0,0,0,0
12:9203,9620,10258,10557,10745,11008,11141,11156,11159,11252,11256,11321,11365,11380,11466,11665,11674,11714,11787,11952,11985,11990,12220,12371,12451,12533,12536,12844,12852,13177,13621,13753,13933,14251,14385,14733,14820,14965,15221,15473,15657,15684,15692,15913,16368,17582,24450,0,0,0
13:8419,10114,10445,10747,10784,10845,11139,11187,11283,11634,11726,11748,11802,11845,11876,12152,12321,12463,12560,12600,12635,12721,12833,12900,12916,13161,13554,13730,13743,13814,13986,14025,14371,15183,15361,16070,16251,16511,16918,17135,17245,17439,18239,18243,18630,18742,21074,0,0,0
